"","trim","stat","t70","k","ne.r2","time7","time13","time25","time37"
"1","no","RMSE",0.56,0.1,0.12,0.11,0.21,0.16,0.19
"2","no","R2",0.03,0.01,0.06,0.04,0.22,0.08,0.15
"3","no","Avg.Bias",0.03,0,0,0,-0.01,0.02,0.03
"4","no","Max.Bias",1.5,0.27,0.29,0.21,0.63,0.31,0.29
"5","no","Skill",-19.04,-23,-95.08,-7.43,-74.87,-9.44,5.56
"6","no","delta.RMSE",9.11,10.9,39.67,3.65,32.24,4.62,-2.82
"7","no","p",0.86,0.88,0.98,0.72,1,0.73,0.38
"8","yes","RMSE",0.52,0.09,0.1,0.12,0.22,0.16,0.17
"9","yes","R2",0.07,0.06,0,0.04,0.05,0.09,0.29
"10","yes","Avg.Bias",0,0,0,0,-0.02,0,0
"11","yes","Max.Bias",1.28,0.26,0.26,0.21,0.63,0.28,0.31
"12","yes","Skill",-0.37,-0.15,-40.33,-20.42,-78.76,-6.67,25.97
"13","yes","delta.RMSE",0.19,0.07,18.46,9.74,33.7,3.28,-13.96
"14","yes","p",0.53,0.5,0.88,0.9,1,0.7,0.03
