codeStem,labID,mg.150mg,g,perc.acid.insoluble.lignin,OD.205,perc.acid.soluble.lignin,perc.Total.lignin,Arabinose,Rhamnose,Galactose,Glucose,Xylose,Mannose,Total
ACPA1,1,175.2,0.1752,21.433,0.239,1.93,23.358,0.701,0.393,1.102,47.053,16.812,1.908,91.33
ACPA1,2,179.1,0.1791,21.859,0.251,1.98,23.837,0.682,0.416,1.090,47.205,16.632,2.003,91.86
ACPA3,3,173.1,0.1731,22.646,0.313,2.55,25.198,0.691,0.421,1.104,47.803,16.843,2.028,94.09
ACPA3,4,173.2,0.1732,23.499,0.302,2.46,25.960,0.834,0.361,0.976,46.826,18.374,1.731,95.06
ACPA4,5,171.4,0.1714,22.491,0.242,1.99,24.484,0.900,0.462,1.784,48.321,17.229,1.547,94.73
ACPA4,6,171.1,0.1711,22.238,0.246,2.03,24.268,0.895,0.431,1.762,49.328,17.551,1.769,96.00
ALLI1,7,170.5,0.1705,27.097,0.427,3.53,30.631,1.218,0.295,1.332,45.119,15.004,1.389,94.99
ALLI1,8,169.7,0.1697,26.606,0.422,3.51,30.115,1.254,0.218,1.218,45.564,15.143,1.410,94.92
ALLI2,9,171.6,0.1716,25.874,0.449,3.69,29.567,1.081,0.358,1.092,43.792,17.029,1.797,94.72
ALLI2,10,171.3,0.1713,25.686,0.442,3.64,29.328,1.092,0.386,1.130,44.435,17.265,1.827,95.46
ALLI3,11,173.5,0.1735,25.591,0.442,3.60,29.186,1.224,0.424,1.140,44.531,16.484,1.326,94.32
ALLI3,12,173,0.173,24.913,0.447,3.65,28.560,1.211,0.390,1.140,44.162,16.365,1.401,93.23
ANBA1,13,174.7,0.1747,26.703,0.483,3.90,30.605,1.211,0.323,1.653,42.311,13.732,0.794,90.63
ANBA1,14,173.5,0.1735,27.089,0.478,3.89,30.978,1.216,0.350,1.671,42.861,13.790,0.818,91.68
ANBA2,15,170.6,0.1706,26.846,0.511,4.23,31.074,1.078,0.349,1.925,43.566,13.886,0.835,92.71
ANBA2,16,169.5,0.1695,26.696,0.501,4.17,30.868,1.029,0.355,1.939,43.357,13.646,0.823,92.02
ANBA3,17,169.3,0.1693,28.175,0.486,4.05,32.226,1.072,0.384,1.616,41.829,13.974,0.699,91.80
ANBA3,18,171.2,0.1712,28.446,0.488,4.02,32.469,1.010,0.334,1.587,41.432,13.979,0.816,91.63
BAAE1,19,176.6,0.1766,38.618,0.299,2.39,41.008,1.074,0.323,1.824,38.179,12.267,0.938,95.61
BAAE1,20,178,0.178,38.904,0.276,2.19,41.093,1.064,0.360,1.864,38.426,12.432,1.010,96.25
BAAE2,21,169.3,0.1693,33.757,0.245,2.04,35.799,0.922,0.361,1.555,39.134,13.494,0.933,92.20
BAAE2,22,171.5,0.1715,33.236,0.256,2.11,35.343,0.938,0.368,1.570,39.300,13.621,0.873,92.01
BAAE3,23,169,0.169,33.994,0.277,2.31,36.307,0.924,0.299,1.503,38.119,13.802,0.809,91.76
BAAE3,24,166.1,0.1661,35.400,0.268,2.28,37.678,0.942,0.342,1.552,38.653,13.966,0.849,93.98
EUSC1,25,171.9,0.1719,30.192,0.473,3.88,34.075,0.840,0.323,1.823,40.152,13.534,0.775,91.52
EUSC1,26,172.6,0.1726,31.025,0.47,3.84,34.869,0.844,0.306,1.827,40.323,13.734,0.827,92.73
EUSC2,27,172.8,0.1728,30.382,0.479,3.91,34.294,0.906,0.343,2.082,38.927,13.525,0.669,90.75
EUSC2,28,173.1,0.1731,30.214,0.5,4.08,34.290,0.913,0.347,2.062,38.851,13.596,0.760,90.82
EUSC3,29,173.2,0.1732,30.831,0.513,4.18,35.012,0.785,0.355,2.140,39.717,13.201,0.620,91.83
EUSC3,30,175.6,0.1756,31.948,0.515,4.14,36.087,0.794,0.322,2.147,39.648,13.145,0.577,92.72
EUTE1,73,168.9,0.1689,35.435,0.517,4.32,39.755,0.882,0.455,1.932,38.273,11.457,0.664,93.42
EUTE1,74,166,0.166,35.994,0.502,4.27,40.262,0.862,0.418,1.864,38.300,11.528,0.854,94.09
EUTE2,33,171.1,0.1711,31.151,0.395,3.26,34.410,0.873,0.497,2.687,40.560,11.290,0.737,91.05
EUTE2,34,169.4,0.1694,31.198,0.402,3.35,34.548,0.853,0.426,2.604,40.291,11.204,0.700,90.63
EUTE3,35,174,0.174,38.908,0.388,3.15,42.055,0.650,0.303,1.533,36.795,10.939,0.657,92.93
EUTE3,36,172,0.172,38.547,0.395,3.24,41.788,0.643,0.345,1.590,36.384,10.615,0.429,91.79
EXCU1,37,175.3,0.1753,26.155,0.49,3.95,30.100,1.248,0.476,2.293,40.279,15.238,1.509,91.14
EXCU1,38,173.4,0.1734,27.018,0.478,3.89,30.909,1.260,0.480,2.252,40.180,14.977,1.427,91.49
EXCU2,39,177.6,0.1776,24.550,0.493,3.92,28.467,1.344,0.500,2.321,39.546,16.599,2.164,90.94
EXCU2,40,179.9,0.1799,25.069,0.475,3.73,28.796,1.372,0.480,2.256,40.072,16.777,2.123,91.88
EXCU3,41,174.6,0.1746,24.112,0.471,3.81,27.920,1.314,0.483,2.062,39.615,16.426,2.185,90.00
EXCU3,42,174.2,0.1742,24.397,0.464,3.76,28.157,1.311,0.582,2.211,39.363,16.239,2.084,89.95
JASC1,43,176.3,0.1763,27.737,0.401,3.21,30.947,1.653,0.355,1.283,43.282,14.473,1.674,93.67
JASC1,44,174.5,0.1745,28.223,0.395,3.19,31.418,1.675,0.371,1.275,43.542,14.404,1.510,94.20
JASC2,45,170.7,0.1707,29.994,0.351,2.90,32.896,1.600,0.476,1.371,40.959,14.328,1.772,93.40
JASC2,46,173.1,0.1731,29.983,0.358,2.92,32.902,1.809,0.407,1.317,40.734,14.459,1.966,93.59
JASC2,47,174.3,0.1743,30.952,0.307,2.49,33.438,1.691,0.293,1.423,43.000,13.655,1.344,94.84
JASC2,48,170.7,0.1707,30.228,0.306,2.53,32.759,1.704,0.397,1.447,43.296,13.593,1.195,94.39
LEPA1,49,178.5,0.1785,48.711,0.213,1.68,50.396,1.184,0.301,1.413,26.598,12.644,1.108,93.64
LEPA1,50,177.4,0.1774,48.112,0.221,1.76,49.870,1.194,0.332,1.470,27.296,12.934,1.210,94.31
LEPA2,51,167,0.167,45.000,0.217,1.83,46.834,1.103,0.289,1.758,32.058,11.504,1.765,95.31
LEPA2,52,165.9,0.1659,44.515,0.21,1.79,46.301,1.097,0.293,1.854,32.453,11.649,1.924,95.57
LEPA3,53,165.2,0.1652,43.069,0.177,1.51,44.581,0.969,0.242,1.641,33.440,12.349,2.142,95.36
LEPA3,54,166.1,0.1661,42.685,0.173,1.47,44.155,0.971,0.176,1.610,33.802,12.404,2.071,95.19
MEDE1,55,164.1,0.1641,35.375,0.307,2.64,38.015,0.867,0.234,2.563,44.099,9.137,1.032,95.95
MEDE1,56,164.1,0.1641,35.192,0.302,2.60,37.789,0.862,0.210,2.520,43.884,9.294,1.308,95.87
MEDE2,57,168.9,0.1689,33.333,0.254,2.12,35.456,0.730,0.195,1.712,46.666,10.644,1.919,97.32
MEDE2,58,166.2,0.1662,33.424,0.24,2.04,35.462,0.677,0.153,1.700,46.489,10.488,1.695,96.66
MEDE3,59,162.5,0.1625,36.677,0.248,2.15,38.831,0.675,0.293,1.639,42.103,11.474,1.607,96.62
MEDE3,60,163.1,0.1631,35.438,0.263,2.28,37.714,0.699,0.240,1.580,42.819,11.603,1.666,96.32
PELI1,61,161.4,0.1614,39.839,0.354,3.10,42.934,1.272,0.308,1.236,32.336,13.197,2.005,93.29
PELI1,62,160.6,0.1606,40.909,0.34,2.99,43.897,1.270,0.354,1.300,32.568,13.408,2.101,94.90
PELI2,63,168.4,0.1684,34.857,0.435,3.65,38.503,1.466,0.358,1.131,37.690,14.944,1.920,96.01
PELI2,64,167.6,0.1676,35.859,0.437,3.68,39.539,1.469,0.291,1.116,37.410,14.757,1.879,96.46
PELI3,65,167.6,0.1676,41.826,0.337,2.84,44.664,1.284,0.368,1.267,33.285,14.023,2.178,97.07
PELI3,66,166.8,0.1668,42.806,0.339,2.87,45.674,1.299,0.353,1.313,33.407,13.853,1.908,97.81
PEPU1,67,164.2,0.1642,22.138,0.562,4.83,26.968,0.940,0.358,1.576,44.085,19.356,0.965,94.25
PEPU1,68,162.2,0.1622,22.626,0.57,4.96,27.586,0.955,0.443,1.668,44.762,19.665,0.931,96.01
PEPU2,69,168,0.168,21.131,0.619,5.20,26.331,0.742,0.312,1.355,46.236,20.090,1.114,96.18
PEPU2,70,167.9,0.1679,19.952,0.631,5.30,25.257,0.804,0.346,1.324,46.801,20.309,1.059,95.90
PEPU3,71,170.7,0.1707,21.295,0.6,4.96,26.256,0.779,0.403,1.481,44.603,19.875,0.961,94.36
PEPU3,72,170.6,0.1706,21.336,0.584,4.83,26.168,0.781,0.428,1.503,44.134,19.920,0.930,93.86
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
