order,unique,drill,wetWeightExcess (g),dry WWE,wetWeight ,drilledWeight ,volMass ,volMassRetained,dryMass(piece used to do vol mass),total dry,notes
2,BAAE25,yes,92.75,30.41,59.57,(58.33 total)  35.72,73.76,7.77,15.16,26.22,35.72 used for vol mass
3,acel5f,yes,0,0,7.78,7.46,10.66,0.85,5.32,,
8,ALLI111,yes,0.6,0.42,222.32,(220.5 total) 220.12,299.43,19.15,128.97,,"wetWeight initially recorded as 22.32 on datasheet, revised wetWeight is a guess based on how much drilled mass removed from other samples, could weigh shavings but sitting in CTAB"
17,acpa3e,yes,0.26,0.05,12.76,10.32,11.8,1.21,5.2,5.57,
18,cota3a,yes,1.07,0.4,1.13,0.79,1.18,0.38,0.56,,
25,acel5a,yes,0,0,3.78,(3.54 total) 3.22,5.25,0.69,2.54,2.82,
27,anba2j,yes,0.19,0.05,2.41,(1.42 total) 0.98,1.23,0.32,0.55,0.75,
30,hase3i,yes,5.57,1.47,5.81,(5.43 total) 2.87,3.53,0.51,1.12,2.37,
33,eusc3j,yes,2.96,0.78,0,0,NA,NA,NA,,all wwe
34,cota5b,yes,1.65,0.57,0.91,0.69,NA,NA,0.3,,too crumbled to do volmass
37,cali2i,yes,2.64,0.95,6.03,(5.33 total) 4.36,6.15,1.75,1.48,1.92,
42,lepa3a,yes,1.33,0.85,4.86,4.62,5.96,0.72,2.85,,
44,olst1e,yes,2.71,0.77,0,0,NA,NA,0,,all crumbled once handled
53,anba2f,yes,6.37,1.83,3.9,3.22,3.63,0.78,1.38,,
54,PELI33,yes,20.17,14.31,240.62,238.78,320.47,18.24,138.31,,
84,excu2j,yes,3.84,1.4,9.18,8.54,12.61,1.8,4.81,,
85,JASC311,yes,0,0,202.41,(201.29 total) 200.8,277.02,29.83,102.18,,
89,mede1i,yes,0.36,0.8,3.07,2.85,4.46,0.92,1.71,,
90,acpa4d,yes,0,0,19.32,18.98,21.81,1.45,11.59,,
96,ALLI11,yes,0,0,364.49,363.06,483.04,36.53,198,,
99,cota1d,yes,0.35,0.14,0.38,0.22,NA,NA,NA,,
103,eute2k,yes,0,0,9.9,9.24,13.37,1.83,4.08,,
111,basp1c,yes,0,0,8.13,7.92,10.33,1.32,5.65,,
116,baae2q,yes,0.26,0.14,3.91,(3.01 total) 2.55,3.24,1.39,0.91,1.03,
122,basp1f,yes,0.25,0.11,5.05,4.54,6.41,0.71,3.23,,
123,acpa3i,yes,0,0,12.87,12.53,16.36,1.16,9.76,,
125,EUTE16,yes,33.98,22.19,286.56,285.36,361.42,24.95,205.34,,
131,olst2b,yes,0.61,0.29,10.12,9.33,14.27,1.41,5.29,,
145,ANBA213,yes,29.24,8.7,69.19,(67.06 total) 37.4,46.8,6.38,13,19.67,total dry from 37.4 piece
148,pepu1a,yes,1.49,0.74,16.52,(15.77 total) 11.52,13.23,1.53,4.86,5.86,
150,eute2a,yes,2.88,1.25,1.29,0.8,NA,NA,0.33,,
162,peli3c,yes,3.86,1.42,2.09,1.8,2.61,0.7,1.32,,
168,anba3e,yes,1.6,0.6,0.56,0.32,NA,NA,NA,0.31,not enough sample post drill
170,BAAE214,yes,70.07,23.48,36.97,(35.82 total) 34.59,53.41,5.62,15.9,16.84,
174,ripi1j,yes,0,0,0,0,NA,NA,NA,,"completely rotted, no sample"
178,alli1a,yes,0,0,14.13,13.57,18.42,1.25,8.71,,
181,BAAE28,yes,63.98,21.55,17.23,16.54,27.08,15.67,10.49,,
185,ANBA315,yes,33.21,9.67,38.53,(36.8 total) 32.98,49.02,7.92,13.45,15.5,
192,mede3f,yes,0.39,0.2,3.22,2.65,3.93,1,1.43,,
200,EXCU211,yes,43.43,22.29,143.52,142.3,212.57,10.04,88.28,,
204,cali1f,yes,0.05,0.09,13.13,12.55,18.47,1.57,8.42,,
208,eute2b,yes,1.59,0.5,0,0,NA,NA,NA,,all wwe
215,acel2f,yes,1,0.33,0,0,NA,NA,NA,,all wwe
217,cota4d,no,1.94,0.6,3.44,0,4,0.34,1.96,,
226,PEPU26,yes,176.72,39.99,35.77,(34.04 total) 21.32,32.01,4.97,12.76,19.46,
235,PELI36,yes,21.92,16.18,186.43,185.35,299.15,31.23,122.57,,
236,JASC117,yes,25.31,10.98,81.57,(79.5 total) 75.8,96.75,8.82,44.34,47.04,total dry from 79.5 
238,isan5i,yes,10.9,4.46,3.91,(2.85 total) 2.64,3.03,0.71,1.63,1.68,
248,ANBA17,yes,8.77,2.51,88.73,(87.63 total) 58.25,107.18,16.61,20.47,30.88,
251,acel5d,no,0,0,5.17,0,8.37,0.29,2.25,,
255,mede1j,yes,3.69,1.47,2.97,(2.32 total) 1.72,2.65,0.61,1.03,1.32,
257,JASC116,yes,29.26,16.18,74.52,73.31,104.69,18.96,48,,
261,EUTE28,yes,8.25,4.54,105.31,104.49,160.68,15.42,67.27,,
266,cali2k,yes,0.71,0.52,5.01,3.77,NA,NA,1.74,,
268,pepu1b,yes,0,0,12.61,12.09,18.59,3.77,5.87,,
270,PELI116,yes,60.81,38.89,145.31,143.53,235.66,13.18,86.43,,
278,jasc1g,yes,0,0,6.27,5.29,NA,NA,3.05,,
280,anba2b,no,0,0,3.7,0,3.79,0.19,1.87,,
288,isan5b,yes,1.37,0.53,2.9,1.91,NA,NA,1.21,,
289,olst1c,yes,1.39,0.99,0,0,NA,NA,NA,,all wwe
294,isan5h,yes,5.28,2.19,4.72,3.75,NA,NA,1.8,,fell apart with drilling
296,EXCU12,yes,43.08,18,87.15,(86.14 total) 45.15,58.7,4.46,34.26,56.86,total dry from 86.14
310,EUTE18,yes,34.46,20.87,314.66,(313.11 total) 312.72,357.43,31.5,225.32,225.5,total dry from 313.11
