order,unique,drill,wetWeightExcess,dry WWE,wetWeight,drilledWeight ,volMass ,volMassRetained ,dryMassVolPiece,totalDryMass,notes
4,excu1f,no,4950,3083.6,4110,,6700,3410,2396.5,,
10,ripi1b,no,,,,,,,,,
11,acpa4k,no,0,0,5780,,10880,1340,4723.5,,
16,alli2h,no,391,308.9,8048,,19530,2220,5428.9,,
21,lepa1c,no,1050,898.4,1350,,2700,1810,1156.9,,
31,EUTE37,yes,0,0,190628,183415,226010,21370,139740.8,,
35,ACPA110,yes,15884,10321,140995,138180,197270,33230,89340.7,,
40,cali3e,no,2117,1031.2,NA,,5550,1080,1874.9,,
41,leer3a,no,0,0,3590,,6890,2330,2632.9,,
43,peli1k,no,0,0,6960,,15200,4150,4703.6,,
50,JASC25,yes,0,0,116402,115209,170030,31810,71954.3,,
55,isan4b,no,,,,,,,,,
56,PEPU24,yes,13965,11732.4,152966,151520,164990,60850,57740.5,,
58,acpa4c,no,0,0,8310,,15780,5220,7200.9,,
60,cali1l,no,70,61,7930,,15250,3250,3595.4,,
72,cali2a,no,0,0,4040,,6450,720,3465.4,,
73,PELI113,yes,621,549.2,152350,150126,160020,96520,71061.6,,
77,EUSC16,yes,0,0,58965,57725,93410,28080,26703.9,,
80,EXCU19,yes,0,0,70272,67105,98660,23310,31209.9,,
92,MEDE28,yes,89,48.1,156712,154915,191900,70280,64400.9,,
100,basp3c,no,180,168.9,6150,,13600,1290,4030.1,,
104,ANBA15,yes,,,,,,,,,
105,mede1c,no,0,0,1390,,3250,560,1163,,
109,olst2j,no,,,,,,,,,
113,penu1c,no,,,,,,,,,
118,BAAE32,yes,40360,31642.3,137528,135490,239850,69240,66150.4,,
127,acel2c,no,,,,,,,,,
129,alli1c,no,0,0,8680,,19610,4830,7190.5,,
132,EUTE27,yes,0,0,105347,102619,164200,26100,76599.1,,volMassRetained approx
141,leer9b,no,0,0,1520,,2820,580,1229.8,,
144,acel5k,no,0,0,5560,,12500,6840,3769.5,,
161,ANBA114,yes,,,,,,,,,
163,EUTE318,yes,0,0,218259,216827,239260,37020,165437.3,,
171,peli1c,no,,,,,,,,,
172,leer1c,no,,,,,,,,,
179,pepu3j,no,,,,,,,,,
197,ANBA113,yes,,,,,,,,,
207,basp3h,no,,,,,,,,,
219,mede1b,no,0,0,1629,,3720,630,1331.5,,
220,acpa4f,no,0,0,10840,,20320,3400,8900.5,,
227,leer10c,no,,,,,,,,,
228,eute3j,no,230,209,2220,,4870,1170,1908.4,,
242,jasc1a,no,30,37.5,1430,,3130,1540,1232.4,,
246,acel2g,no,,,,,,,,,
250,jasc3b,no,0,0,2800,,7500,2930,2343.3,,
252,MEDE214,yes,81,45,217409,215453,283750,65820,104660,,
262,cota6e,no,,,,,,,,,
276,LEPA46,yes,,,,,,,,,
284,baae2d,no,,,,,,,,,
286,leer8e,no,,,,,,,,,
287,pepu3i,no,,,,,,,,,
291,lepa3h,no,,,,,,,,,
298,lepa3f,no,,,,,,,,,
301,alli2e,no,0,0,2220,,4370,2370,1881.6,,
303,ANBA25,yes,0,0,63203,62060,110850,43320,24536.8,,
309,acel1k,no,0,0,3780,,8650,2160,3013.7,,
320,PEPU15,yes,,,,,,,,,
321,eute1c,no,,,,,,,,,
324,ANBA29,yes,,,,,,,,,
337,EXCU21,yes,NA,1150,40939,40106,39500,14270,15410,,"remeasured density and mass after drying, so no measure of WWE "
339,acpa4g,no,0,0,7550,,14240,2440,6190.9,,
340,JASC211,yes,0,0,72684,71876,112000,18560,51508.1,,
341,cota2a,no,,,,,,,,,
343,ALLI313,yes,16278,13289.9,90889,86914,133520,,40764.8,,
345,penu5d,no,,,,,,,,,
348,ANBA210,yes,,,,,,,,,
350,ALLI16,yes,33390,26534.6,148701,147329,263850,11710,50869.9,,
353,pepu1k,no,0,0,3030,,8030,1530,2021,,
365,acpa1g,no,0,0,3650,,4550,1140,1472,,
366,cota6a,no,,,,,,,,,
368,LEPA27,yes,950,866,68823,66266,81730,19030,42397,42865,
370,ALLI213,yes,50417,31881,52233,50695,35670,8890,10473,17654,
373,MEDE33,yes,1070,488,99323,96278,118640,42570,45926,,
379,eute1h,no,0,0,585,,2330,130,440,,
389,EUSC28,yes,9521,5131,116466,113082,165120,26350,62589,,
390,ripi2e,no,,,,,,,,,
393,anba3h,no,0,0,2006,,2840,560,1099,,
394,EUTE317,yes,10265,7197,219719,214632,241910,22620,163427,,
395,baae1e,no,0,0,4624,,7070,730,1940,,
396,lepa1l,no,113,86,4415,,6660,2830,3695,,
397,anba1e,no,0,0,1228,,3660,860,678,,
402,basp3j,no,2261,747,3144,,4090,590,1436,,
404,ALLI312,yes,0,0,185673,182740,246290,33870,87867,,
406,lepa2e,no,289,233,8064,,9020,2120,4816,,
413,cota2e,no,0,0,3038,,3490,540,1784,,
416,PEPU11,yes,185,105,170185,168948,226630,26440,102902,,
418,MEDE215,yes,67,,252656,250101,295800,98140,109091,,no excess found after dry
433,pepu3a,no,0,0,10721,,59180,1080,8032,,
437,hase1i,no,728,384,5151,,8200,1250,2021,,
443,eusc2l,no,,,,,,,,,
447,cota5e,no,0,0,2617,,3860,530,1430,,
455,basp1a,no,0,0,4380,,9650,590,3506,,
459,ripi3k,no,0,0,244,,940,650,206,,
