SampleID,ITSooR1_OTUa_336,ITSooR1_OTUa_6151,ITSooR1_OTUa_771,ITSooR1_OTUa_6983,ITSooR1_OTUa_729,ITSooR1_OTUa_515,ITSooR1_OTUa_507,ITSooR1_OTUa_1275,ITSooR1_OTUa_590,ITSooR1_OTUa_3081,ITSooR1_OTUa_567,ITSooR1_OTUa_877,ITSooR1_OTUa_6987,ITSooR1_OTUa_4403,ITSooR1_OTUa_6981,ITSooR1_OTUa_950,ITSooR1_OTUa_4697,ITSooR1_OTUa_2369,ITSooR1_OTUa_4699
EUSC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUSC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANBA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANBA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PELI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PELI3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
JASC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JASC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JASC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACPA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACPA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLI1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLI3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
EXCU2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXCU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alli2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alli3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anba2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anab3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
baae1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baae2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
eute3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excu2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
jasc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mede1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pepu1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
haseA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penuA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caliA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ripiA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isanA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leerD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haseB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penuB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leerE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caliB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alli1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excu3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acpa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eute1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baae3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ripi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mede3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excu1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peli3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peli1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jasc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
