"","run","otu1","otu2","sig.residCor"
"3","run1","ITSall_OTUa_401","ITSall_OTUa_7022",0.0359366233042392
"6","run1","ITSall_OTUa_401","ITSall_OTUa_6850",0.071581149352303
"9","run1","ITSall_OTUa_401","ITSall_OTUa_5547",-0.0172921321956125
"12","run1","ITSall_OTUa_401","ITSall_OTUa_6382",0.0762562727503031
"13","run1","ITSall_OTUa_401","ITSall_OTUa_6577",0.0483448156517956
"18","run1","ITSall_OTUa_401","ITSall_OTUa_10202",0.0755384468129454
"20","run1","ITSall_OTUa_401","ITSall_OTUa_9905",0.0224599248838273
"32","run1","ITSall_OTUa_401","ITSall_OTUa_2357",0.0433432925668867
"34","run1","ITSall_OTUa_401","ITSall_OTUa_67",0.0586611269019075
"36","run1","ITSall_OTUa_401","ITSall_OTUa_1471",0.0338489164311444
"49","run1","ITSall_OTUa_401","ITSall_OTUa_4710",0.0191173624933136
"53","run1","ITSall_OTUa_401","ITSall_OTUa_3758",0.0961777033106112
"55","run1","ITSall_OTUa_401","ITSall_OTUb_6068",0.0961028948126779
"58","run1","ITSall_OTUa_401","ITSall_OTUb_6268",0.0714569590149354
"60","run1","ITSall_OTUa_401","ITSall_OTUb_8054",0.0438195733727744
"63","run1","ITSall_OTUa_401","ITSall_OTUb_7195",0.0374447486965479
"64","run1","ITSall_OTUa_401","ITSall_OTUb_7600",0.0516775750134865
"65","run1","ITSall_OTUa_401","ITSall_OTUb_7634",0.0575222934975129
"66","run1","ITSall_OTUa_401","ITSall_OTUb_7311",0.0359835670641926
"69","run1","ITSall_OTUa_401","ITSall_OTUb_2706",0.0409576299680905
"75","run1","ITSall_OTUa_401","ITSall_OTUb_3013",0.0494206530510666
"77","run1","ITSall_OTUa_401","ITSall_OTUc_2088",0.107714191955221
"78","run1","ITSall_OTUa_401","ITSall_OTUc_1536",0.0264236109237654
"79","run1","ITSall_OTUa_401","ITSall_OTUc_2872",0.0439022302045727
"83","run1","ITSall_OTUa_401","ITSall_OTUc_39",-0.0189654228507308
"88","run1","ITSall_OTUa_401","ITSall_OTUd_286",0.103984282792727
"91","run1","ITSall_OTUa_401","ITSall_OTUd_5666",0.0796446768424848
"92","run1","ITSall_OTUa_401","ITSall_OTUd_469",0.0610758391370703
"95","run1","ITSall_OTUa_401","ITSall_OTUd_517",0.0679360509160082
"97","run1","ITSall_OTUa_401","ITSall_OTUd_419",0.0415487037386185
"98","run1","ITSall_OTUa_401","ITSall_OTUd_663",0.0613191009756257
"99","run1","ITSall_OTUa_401","ITSall_OTUd_557",0.0835597983389732
"106","run1","ITSall_OTUa_401","ITSall_OTUd_111",-0.0128531657028454
"112","run1","ITSall_OTUa_401","ITSall_OTUd_35",0.0681031679197334
"114","run1","ITSall_OTUa_401","ITSall_OTUd_9",0.0704268715749479
"116","run1","ITSall_OTUa_401","ITSall_OTUd_83",0.109514028388616
"119","run1","ITSall_OTUa_401","ITSall_OTUd_92",0.0189667838218565
"120","run1","ITSall_OTUa_401","ITSall_OTUd_65",0.0361027096692449
"121","run1","ITSall_OTUa_401","ITSall_OTUd_292",0.053823999009508
"122","run1","ITSall_OTUa_401","ITSall_OTUd_308",0.0420844222243312
"123","run1","ITSall_OTUa_401","ITSall_OTUd_340",0.0952762223290979
"124","run1","ITSall_OTUa_401","ITSall_OTUd_341",0.0936573726565918
"125","run1","ITSall_OTUa_401","ITSall_OTUd_349",0.0540999208910549
"127","run1","ITSall_OTUa_401","ITSall_OTUd_206",0.0493780539116361
"131","run1","ITSall_OTUa_401","ITSall_OTUd_254",0.0434308021431654
"132","run1","ITSall_OTUa_401","ITSall_OTUd_222",0.0562187672389847
"133","run1","ITSall_OTUa_401","ITSall_OTUd_1055",0.0552307701811937
"134","run1","ITSall_OTUa_401","ITSall_OTUd_769",0.0661259189991482
"135","run1","ITSall_OTUa_401","ITSall_OTUd_721",0.0507168516811652
"136","run1","ITSall_OTUa_401","ITSall_OTUd_872",0.0768409216738338
"137","run1","ITSall_OTUa_401","ITSall_OTUd_4405",0.0739441690686224
"142","run1","ITSall_OTUa_4465","ITSall_OTUa_6850",0.102172086618515
"147","run1","ITSall_OTUa_4465","ITSall_OTUa_6319",0.117074114524482
