"","ITSall_OTUa_401","ITSall_OTUa_9575","ITSall_OTUa_8100","ITSall_OTUa_1901","ITSall_OTUa_1443","ITSall_OTUa_1484","ITSall_OTUa_1164","ITSall_OTUa_5030","ITSall_OTUa_3856","ITSall_OTUb_7634","ITSall_OTUc_6"
"acel",3,45,22.6666666666667,28,77,349.666666666667,8,23.3333333333333,576.666666666667,229.333333333333,222.333333333333
"acpa",0,11.25,12.75,28.25,71,15,0,1222.5,80.75,0,3275.5
"ACPA",13.3333333333333,0,30.3333333333333,8.33333333333333,0,0,0,169,58,0,576.333333333333
"alli",0,24.3333333333333,223.333333333333,0,33.3333333333333,25.6666666666667,0,213.666666666667,13,4.66666666666667,0
"ALLI",0,0,198.333333333333,0,0,0,22.3333333333333,0,0,187.333333333333,10.3333333333333
"anba",8.5,0,10.5,0,18,85,0,1276.5,2173.5,0,149
"ANBA",0,0,30,0,0,7.33333333333333,69.6666666666667,4,86.6666666666667,5.33333333333333,7
"baae",11.6666666666667,0,47.3333333333333,74.6666666666667,7,54,0,54.3333333333333,21,162.666666666667,21.3333333333333
"BAAE",28.6666666666667,0,84,0,0,0,0,16.6666666666667,0,5.66666666666667,22.3333333333333
"basp",26.5,60.75,9.5,106,146.75,21.25,0,41.25,0,4.75,60
"cali",7,24.6666666666667,38.3333333333333,42.6666666666667,71.6666666666667,0,23.3333333333333,14.6666666666667,0,642.333333333333,16.3333333333333
"cota",42,5,43.6666666666667,17.6666666666667,85,3.66666666666667,0,116.333333333333,8.66666666666667,1390.33333333333,3
"eusc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EUSC",4.66666666666667,0,0,0,0,66,627.333333333333,23,26,0,13
"eute",50.6666666666667,0,0,24.6666666666667,65.3333333333333,0,961.333333333333,6.66666666666667,57.6666666666667,0,35.6666666666667
"EUTE",0,0,0,0,0,31.3333333333333,8.33333333333333,0,0,0,487.333333333333
"excu",4.66666666666667,0,794.666666666667,27.3333333333333,52.6666666666667,22,0,38.6666666666667,0,0,164
"EXCU",98,0,174,0,0,75.6666666666667,0,40.6666666666667,70.6666666666667,0,313.666666666667
"hase",3.66666666666667,20.6666666666667,14.6666666666667,41,108,25,4,133.666666666667,102.666666666667,9.66666666666667,718.666666666667
"isan",21.6666666666667,392.333333333333,42.6666666666667,46,64.3333333333333,0,0,52.6666666666667,0,16,41
"jasc",14,0,3.33333333333333,7.33333333333333,172,0,5,41.6666666666667,28,0,1155.33333333333
"JASC",0,0,0,0,0,0,0,0,0,0,1049.33333333333
"leer",22.6666666666667,7.66666666666667,20.6666666666667,9,18,6.66666666666667,0,91.6666666666667,309.666666666667,845.5,168.333333333333
"lepa",49.6666666666667,80.6666666666667,8,36.6666666666667,113.333333333333,0,0,28.3333333333333,5.33333333333333,85,12
"LEPA",3.75,0,10,0,0,0,30,0,0,0,29.5
"mede",12,8,3.33333333333333,4,268.666666666667,4,0,16,25.3333333333333,0,38.6666666666667
"MEDE",0,0,0,0,0,0,40,0,4,0,12
"olst",18,11.6666666666667,0,3,30,150,0,3.33333333333333,81.3333333333333,5,240
"peli",0,72.6666666666667,39.6666666666667,0,129,21.3333333333333,0,60.3333333333333,161.333333333333,0,0
"PELI",0,0,5,0,0,0,9.66666666666667,11,0,0,3.66666666666667
"penu",9,13,17.3333333333333,15.3333333333333,76,5,0,0,536,5,19.6666666666667
"pepu",10.3333333333333,48.3333333333333,121,78,766,42,17.6666666666667,166.666666666667,81.3333333333333,21.3333333333333,40.3333333333333
"PEPU",19.6666666666667,0,111,0,0,0,0,16.6666666666667,0,0,5.33333333333333
"ripi",80,4.66666666666667,47.3333333333333,6.33333333333333,49.6666666666667,16.6666666666667,58,11.3333333333333,67.6666666666667,61,443
