"","X[[i]]"
"1",20
"2",45
"3",27
"4",171
"5",256
"6",46
"7",85
"8",259
"9",197
"10",1
"11",208
"12",185
"13",217
"14",53
"15",119
"16",17
"17",34
"18",83
"19",25
"20",236
"21",32
"22",298
"23",132
"24",289
"25",294
"26",188
"27",21
"28",189
"29",227
"30",277
"31",250
"32",237
"33",733
"34",621
"35",154
"36",115
"37",86
"38",199
"39",191
"40",89
"41",304
"42",270
"43",208
"44",0
"45",11
"46",142
"47",404
"48",132
"49",33
"50",140
"51",19
"52",133
"53",477
"54",458
"55",200
"56",57
"57",511
"58",524
"59",413
"60",973
"61",1068
"62",60
"63",58
"64",707
"65",840
"66",76
"67",679
"68",674
"69",125
"70",397
"71",526
"72",368
"73",577
"74",81
"75",600
"76",445
"77",555
"78",11
"79",134
"80",4
"81",288
"82",125
"83",70
"84",125
"85",537
"86",192
"87",539
"88",452
"89",99
"90",54
"91",459
"92",416
"93",584
"94",74
"95",27
"96",33
"97",209
"98",256
"99",216
"100",447
"101",49
"102",245
"103",321
"104",256
