"","numPairs_posCorr","seq_sampName","code","species","size"
"1",392,"EUTE1","EUTE","eute","large"
"2",1332,"EUTE2","EUTE","eute","large"
"3",1142,"EUTE3","EUTE","eute","large"
"4",1218,"LEPA1","LEPA","lepa","large"
"5",1724,"LEPA2","LEPA","lepa","large"
"6",134,"LEPA3","LEPA","lepa","large"
"7",216,"LEPA4","LEPA","lepa","large"
"8",3043,"EUSC1","EUSC","eusc","large"
"9",1068,"EUSC2","EUSC","eusc","large"
"10",10,"EUSC3","EUSC","eusc","large"
"11",907,"ANBA1","ANBA","anba","large"
"12",1113,"ANBA2","ANBA","anba","large"
"13",924,"ANBA3","ANBA","anba","large"
"14",120,"PELI1","PELI","peli","large"
"15",790,"PELI2","PELI","peli","large"
"16",198,"PELI3","PELI","peli","large"
"17",718,"JASC1","JASC","jasc","large"
"18",601,"JASC2","JASC","jasc","large"
"19",364,"JASC3","JASC","jasc","large"
"20",5398,"BAAE1","BAAE","baae","large"
"21",366,"BAAE2","BAAE","baae","large"
"22",8904,"BAAE3","BAAE","baae","large"
"23",1760,"PEPU1","PEPU","pepu","large"
"24",6129,"PEPU2","PEPU","pepu","large"
"25",6033,"PEPU3","PEPU","pepu","large"
"26",7666,"ACPA1","ACPA","acpa","large"
"27",3983,"ACPA3","ACPA","acpa","large"
"28",5305,"ACPA4","ACPA","acpa","large"
"29",4958,"ALLI1","ALLI","alli","large"
"30",7017,"ALLI2","ALLI","alli","large"
"31",4021,"ALLI3","ALLI","alli","large"
"32",3808,"EXCU1","EXCU","excu","large"
"33",6563,"EXCU2","EXCU","excu","large"
"34",4886,"EXCU3","EXCU","excu","large"
"35",983,"MEDE1","MEDE","mede","large"
"36",955,"MEDE2","MEDE","mede","large"
"37",229,"MEDE3","MEDE","mede","large"
"38",3435,"acpa4","acpa","acpa","small"
"39",8543,"alli2","alli","alli","small"
"40",1257,"alli3","alli","alli","small"
"41",2769,"anba2","anba","anba","small"
"42",6990,"anba3","anba","anba","small"
"43",8220,"baae1","baae","baae","small"
"44",1019,"baae2","baae","baae","small"
"45",464,"eute3","eute","eute","small"
"46",6434,"excu2","excu","excu","small"
"47",5781,"jasc3","jasc","jasc","small"
"48",364,"lepa3","lepa","lepa","small"
"49",811,"mede1","mede","mede","small"
"50",1793,"mede2","mede","mede","small"
"51",2073,"peli1","peli","peli","small"
"52",5585,"peli2","peli","peli","small"
"53",11722,"pepu1","pepu","pepu","small"
"54",10055,"baspA","basp","basp","small"
"55",4889,"olstB","olst","olst","small"
"56",394,"isanB","isan","isan","small"
"57",11982,"leerA","leer","leer","small"
"58",10616,"cotaB","cota","cota","small"
"59",7753,"olstA","olst","olst","small"
"60",14239,"leerB","leer","leer","small"
"61",14818,"leerC","leer","leer","small"
"62",4416,"cotaA","cota","cota","small"
"63",4804,"baspB","basp","basp","small"
"64",12487,"haseA","hase","hase","small"
"65",13415,"ripiB","ripi","ripi","small"
"66",3162,"baspC","basp","basp","small"
"67",5456,"isanA","isan","isan","small"
"68",11515,"ripiA","ripi","ripi","small"
"69",4198,"penuA","penu","penu","small"
"70",3340,"caliA","cali","cali","small"
"71",9522,"leerD","leer","leer","small"
"72",7408,"haseB","hase","hase","small"
"73",11563,"acelB","acel","acel","small"
"74",3316,"penuB","penu","penu","small"
"75",8001,"leerE","leer","leer","small"
"76",3608,"caliB","cali","cali","small"
"77",7290,"acelA","acel","acel","small"
"78",266,"eute2","eute","eute","small"
"79",4101,"alli1","alli","alli","small"
"80",702,"excu3","excu","excu","small"
"81",2794,"lepa4","lepa","lepa","small"
"82",7236,"acpa1","acpa","acpa","small"
"83",5288,"pepu2","pepu","pepu","small"
"84",769,"eute1","eute","eute","small"
"85",6844,"baae3","baae","baae","small"
"86",1822,"hase","hase","hase","small"
"87",8093,"olst","olst","olst","small"
"88",10397,"leer","leer","leer","small"
"89",2936,"pepu3","pepu","pepu","small"
"90",1499,"isan","isan","isan","small"
"91",3304,"cali","cali","cali","small"
"92",7168,"ripi","ripi","ripi","small"
"93",8074,"cota","cota","cota","small"
"94",4554,"penu","penu","penu","small"
"95",781,"mede3","mede","mede","small"
"96",2631,"excu1","excu","excu","small"
"97",6462,"acel","acel","acel","small"
"98",4862,"acpa2","acpa","acpa","small"
"99",5518,"jasc2","jasc","jasc","small"
"100",8714,"peli3","peli","peli","small"
"101",2222,"acpa3","acpa","acpa","small"
"102",1163,"lepa2","lepa","lepa","small"
"103",6493,"basp","basp","basp","small"
"104",5886,"jasc1","jasc","jasc","small"
