"","unique","species","size","time","totalSampleDryMass","density","fruiting","insects","drill","bark_density","xylem_density","total_density","notes","timeZeroMass","timeZeroDensity","pmr","SpeciesCode"
"1","ACPA41","ACPA","large",0,241.646631086643,NA,NA,NA,NA,NA,NA,NA,NA,241.646631086643,NA,1,"acpa"
"2","ACPA110","ACPA","large",0,229.225483825127,NA,NA,NA,NA,NA,NA,NA,NA,229.225483825127,NA,1,"acpa"
"3","ACPA18","ACPA","large",0,223.172060336847,NA,NA,NA,NA,NA,NA,NA,NA,223.172060336847,NA,1,"acpa"
"4","ACPA12","ACPA","large",0,274.233284631026,NA,NA,NA,NA,NA,NA,NA,NA,274.233284631026,NA,1,"acpa"
"5","ACPA412","ACPA","large",0,154.302581896983,NA,NA,NA,NA,NA,NA,NA,NA,154.302581896983,NA,1,"acpa"
"6","ACPA311","ACPA","large",0,169.344993535044,NA,NA,NA,NA,NA,NA,NA,NA,169.344993535044,NA,1,"acpa"
"7","ACPA415","ACPA","large",0,150.329826295122,NA,NA,NA,NA,NA,NA,NA,NA,150.329826295122,NA,1,"acpa"
"8","ACPA42","ACPA","large",0,231.042139472181,NA,NA,NA,NA,NA,NA,NA,NA,231.042139472181,NA,1,"acpa"
"9","ACPA31","ACPA","large",0,275.798500050114,NA,NA,NA,NA,NA,NA,NA,NA,275.798500050114,NA,1,"acpa"
"10","ACPA36","ACPA","large",0,191.911753994985,NA,NA,NA,NA,NA,NA,NA,NA,191.911753994985,NA,1,"acpa"
"11","ACPA13","ACPA","large",0,294.612515107663,NA,NA,NA,NA,NA,NA,NA,NA,294.612515107663,NA,1,"acpa"
"12","ACPA410","ACPA","large",0,156.339247743507,NA,NA,NA,NA,NA,NA,NA,NA,156.339247743507,NA,1,"acpa"
"13","ACPA411","ACPA","large",0,150.958426865037,NA,NA,NA,NA,NA,NA,NA,NA,150.958426865037,NA,1,"acpa"
"14","ACPA315","ACPA","large",0,164.203040873141,NA,NA,NA,NA,NA,NA,NA,NA,164.203040873141,NA,1,"acpa"
"15","ACPA39","ACPA","large",0,179.446604693575,NA,NA,NA,NA,NA,NA,NA,NA,179.446604693575,NA,1,"acpa"
"16","ACPA310","ACPA","large",0,167.496907859495,NA,NA,NA,NA,NA,NA,NA,NA,167.496907859495,NA,1,"acpa"
"17","ACPA16","ACPA","large",0,217.445509144924,NA,NA,NA,NA,NA,NA,NA,NA,217.445509144924,NA,1,"acpa"
"18","ACPA33","ACPA","large",0,271.637164277278,NA,NA,NA,NA,NA,NA,NA,NA,271.637164277278,NA,1,"acpa"
"19","ACPA46","ACPA","large",0,217.520941213314,NA,NA,NA,NA,NA,NA,NA,NA,217.520941213314,NA,1,"acpa"
"20","ACPA314","ACPA","large",0,160.481725499246,NA,NA,NA,NA,NA,NA,NA,NA,160.481725499246,NA,1,"acpa"
"21","ACPA116","ACPA","large",0,180.88609999868,NA,NA,NA,NA,NA,NA,NA,NA,180.88609999868,NA,1,"acpa"
"22","ACPA19","ACPA","large",0,217.256928973949,NA,NA,NA,NA,NA,NA,NA,NA,217.256928973949,NA,1,"acpa"
"23","ACPA35","ACPA","large",0,221.996577271107,NA,NA,NA,NA,NA,NA,NA,NA,221.996577271107,NA,1,"acpa"
"24","ACPA313","ACPA","large",0,162.73840154524,NA,NA,NA,NA,NA,NA,NA,NA,162.73840154524,NA,1,"acpa"
"25","ACPA114","ACPA","large",0,188.580170974437,NA,NA,NA,NA,NA,NA,NA,NA,188.580170974437,NA,1,"acpa"
"26","ACPA48","ACPA","large",0,167.710632053266,NA,NA,NA,NA,NA,NA,NA,NA,167.710632053266,NA,1,"acpa"
"27","ACPA113","ACPA","large",0,191.471733596045,NA,NA,NA,NA,NA,NA,NA,NA,191.471733596045,NA,1,"acpa"
"28","ACPA49","ACPA","large",0,168.251228543392,NA,NA,NA,NA,NA,NA,NA,NA,168.251228543392,NA,1,"acpa"
"29","ACPA111","ACPA","large",0,219.783903265007,NA,NA,NA,NA,NA,NA,NA,NA,219.783903265007,NA,1,"acpa"
"30","ACPA312","ACPA","large",0,160.500583516343,NA,NA,NA,NA,NA,NA,NA,NA,160.500583516343,NA,1,"acpa"
"31","ACPA34","ACPA","large",0,203.452860458621,NA,NA,NA,NA,NA,NA,NA,NA,203.452860458621,NA,1,"acpa"
"32","ACPA37","ACPA","large",0,186.512075099417,NA,NA,NA,NA,NA,NA,NA,NA,186.512075099417,NA,1,"acpa"
"33","ACPA14","ACPA","large",0,242.928976249269,NA,NA,NA,NA,NA,NA,NA,NA,242.928976249269,NA,1,"acpa"
"34","ACPA115","ACPA","large",0,185.223443931092,NA,NA,NA,NA,NA,NA,NA,NA,185.223443931092,NA,1,"acpa"
