"","term","Estimate","Std..Error","t.value","pval","resp","sumsq","df","statistic","p.value","etasq"
"1","size",0.710858295440298,0.269224171002896,2.64039552166604,0.0146219166707265,"w.t50",2.269,1,6.972,0.015,0.083
"2","waterperc_s",-0.412441874260194,0.178561597936669,-2.30980165402908,0.03022069492555,"w.t50",1.736,1,5.335,0.03,0.064
"3","density_s",0.211333643043475,0.172062456216413,1.22823797643379,0.231778556528038,"w.t50",0.491,1,1.509,0.232,0.018
"4","barkthick_s",0.262303965416138,0.174908395939068,1.49966480458443,0.147303705644249,"w.t50",0.732,1,2.249,0.147,0.027
"5","C_s",0.3836564723394,0.148087930930734,2.59073423423581,0.0163452097184922,"w.t50",2.184,1,6.712,0.016,0.08
"6","N_s",-0.39063706151517,0.145623374352513,-2.68251620491604,0.0132955375722314,"w.t50",2.342,1,7.196,0.013,0.086
"7","P_s",-0.0146851328787386,0.10791151943533,-0.136084942141318,0.892938228593603,"w.t50",0.006,1,0.019,0.893,0
"8","Ca_s",0.573245542577568,0.129057557317929,4.44178205825945,0.000187170282429667,"w.t50",6.42,1,19.729,0,0.236
"9","Mn_s",-0.197079346366107,0.111672538741312,-1.76479686579562,0.0908750437230355,"w.t50",1.013,1,3.115,0.091,0.037
"10","Zn_s",-0.313238577142291,0.112533568180848,-2.78351235285544,0.0105622874500248,"w.t50",2.521,1,7.748,0.011,0.093
"11","size",0.598272477598086,0.432478181417774,1.38335875265845,0.179836528336279,"beta",1.607,1,1.914,0.18,0.027
"12","waterperc_s",-0.486065151823349,0.286839011738927,-1.6945573368024,0.103659078515785,"beta",2.411,1,2.872,0.104,0.041
"13","density_s",0.368177312513069,0.276398875619341,1.33205068829631,0.195893325937398,"beta",1.49,1,1.774,0.196,0.025
"14","barkthick_s",0.466900370960555,0.280970555907531,1.66174127909052,0.110136018307836,"beta",2.319,1,2.761,0.11,0.04
"15","C_s",0.584129807699536,0.237886512270682,2.45549780071128,0.0220487353579174,"beta",5.063,1,6.029,0.022,0.086
"16","N_s",-0.636684374985605,0.233927480869528,-2.72171688687022,0.0121636418889492,"beta",6.22,1,7.408,0.012,0.106
"17","P_s",-0.0248748846639977,0.173347651162118,-0.143497096714245,0.887147430766905,"beta",0.017,1,0.021,0.887,0
"18","Ca_s",0.798846880720896,0.207316369400122,3.85327450520376,0.000809300073896955,"beta",12.467,1,14.848,0.001,0.213
"19","Mn_s",-0.288856654232625,0.179389303305271,-1.61022228700599,0.120989826041322,"beta",2.177,1,2.593,0.121,0.037
"20","Zn_s",-0.464691626394325,0.180772449717313,-2.57058875465258,0.0170970754851304,"beta",5.549,1,6.608,0.017,0.095
"21","density_s",-0.116205201135534,0.0509375300153811,-2.28132775775434,0.0306363461289072,"alpha",0.34,1,5.204,0.031,0.118
"22","barkthick_s",-0.042862216359931,0.0577900995808794,-0.741687878560302,0.464679607136632,"alpha",0.036,1,0.55,0.465,0.013
"23","C_s",-0.136963591348717,0.0637647104269887,-2.14795284776744,0.0408493476215452,"alpha",0.302,1,4.614,0.041,0.105
"24","P_s",-0.0757170081553147,0.0467182266075235,-1.62071665929034,0.116700518932055,"alpha",0.172,1,2.627,0.117,0.06
"25","Ca_s",0.0183910129544064,0.0512316031754865,0.35897789283327,0.722403692332661,"alpha",0.008,1,0.129,0.722,0.003
"26","Fe_s",-0.0999355436928744,0.0510295924194343,-1.95838412487133,0.0605903983635237,"alpha",0.251,1,3.835,0.061,0.087
"27","waterperc_s",0.0149507735036182,0.0154623479108768,0.966914830127532,0.341864644393869,"w.r2",0.003,1,0.935,0.342,0.019
"28","density_s",-0.0214880326701733,0.014031557542148,-1.53140751521188,0.136890150861185,"w.r2",0.008,1,2.345,0.137,0.047
"29","C_s",-0.0364750563967959,0.011771604076175,-3.09856296225756,0.00439552291021246,"w.r2",0.033,1,9.601,0.004,0.193
"30","N_s",0.0276366142832225,0.0107740679553357,2.56510487940035,0.0159618171742957,"w.r2",0.022,1,6.58,0.016,0.132
"31","Fe_s",-0.0196694866972152,0.012904075444301,-1.52428484955132,0.13865396537934,"w.r2",0.008,1,2.323,0.139,0.047
