"","term","Estimate","Std..Error","t.value","pval","resp","sumsq","df","statistic","p.value","etasq"
"1","density_s",0.0280534761472642,0.00775235027244023,3.61870596159656,0.00120225646195771,"time7",0.017,1,13.095,0.001,0.213
"2","P_s",-0.0106691821082843,0.00791105163868995,-1.34864270839863,0.188656009831553,"time7",0.002,1,1.819,0.189,0.03
"3","K_s",0.00634272043375575,0.00838437868359953,0.756492600478863,0.455904519155671,"time7",0.001,1,0.572,0.456,0.009
"4","Ca_s",0.00846423437888589,0.00771560051069864,1.09702859384039,0.282316965133994,"time7",0.002,1,1.203,0.282,0.02
"5","Fe_s",0.0140233183836248,0.00794890968615382,1.76418137044028,0.0890143843566329,"time7",0.004,1,3.112,0.089,0.051
"6","Zn_s",-0.00756928427839566,0.00742175155259929,-1.01987842421708,0.316838156922889,"time7",0.001,1,1.04,0.317,0.017
"7","Arabinose_s",-0.0212439314256001,0.00743101811890885,-2.85881841299016,0.00809766696157176,"time7",0.011,1,8.173,0.008,0.133
"8","Glucose_s",0.00284402187666502,0.00729039220140407,0.390105470061993,0.699519183039063,"time7",0,1,0.152,0.7,0.002
"9","Mannose_s",-0.018254372946714,0.00796162108179778,-2.2927959970926,0.0298764575824675,"time7",0.007,1,5.257,0.03,0.086
"10","waterperc_s",-0.0292758315807003,0.00703024648346092,-4.16426815895764,0.000255667794181753,"time13",0.028,1,17.341,0,0.311
"11","N_s",-0.00630061283846044,0.00872038272811074,-0.722515632043303,0.475764206416269,"time13",0.001,1,0.522,0.476,0.009
"12","Zn_s",-0.0109404098914074,0.00735131674350625,-1.48822452808492,0.147486180247798,"time13",0.004,1,2.215,0.147,0.04
"13","Arabinose_s",-0.0133755085199743,0.00863430385528782,-1.54911255662874,0.132200013188933,"time13",0.004,1,2.4,0.132,0.043
"14","Glucose_s",-0.0156149316838453,0.00761479410171647,-2.05060458303469,0.049439397401636,"time13",0.007,1,4.205,0.049,0.076
"15","waterperc_s",-0.22976344392451,0.0249384784145394,-9.21321020894983,1.63179565831081e-09,"time37",0.617,1,84.883,0,0.516
"16","barkthick_s",-0.11380857195857,0.0317155561814513,-3.58841482417802,0.00141351525262477,"time37",0.094,1,12.877,0.001,0.078
"17","N_s",0.0414116201030861,0.0244458824857036,1.6940120745203,0.102687539512278,"time37",0.021,1,2.87,0.103,0.017
"18","Ca_s",0.00691753808700752,0.0242208136808127,0.285603042827892,0.777535199263695,"time37",0.001,1,0.082,0.778,0
"19","Mn_s",0.0517606954919046,0.0223596780630295,2.31491237691333,0.0291161208058741,"time37",0.039,1,5.359,0.029,0.033
"20","Zn_s",0.0316389806571999,0.0177047245563387,1.78703602851999,0.0860640165151958,"time37",0.023,1,3.193,0.086,0.019
"21","Mannose_s",-0.0209286629040342,0.0223752474422117,-0.935348892032879,0.358556255318263,"time37",0.006,1,0.875,0.359,0.005
"22","Lignin_s",0.103228022170509,0.0190674784203837,5.41382661590717,1.28240039721238e-05,"time37",0.213,1,29.31,0,0.178
"23","waterperc_s",-0.0524973063728784,0.0290181818720295,-1.80911769746265,0.0801403554172288,"time59",0.064,1,3.273,0.08,0.083
"24","C_s",0.0456805719140632,0.0298130959828615,1.532231739378,0.135608083368875,"time59",0.046,1,2.348,0.136,0.06
"25","P_s",-0.0355789398698016,0.0270128793882341,-1.31711023317635,0.197455023432387,"time59",0.034,1,1.735,0.197,0.044
"26","K_s",-0.0326873011043413,0.0356359476251732,-0.917256402107042,0.366089740025277,"time59",0.016,1,0.841,0.366,0.021
