"","term","Estimate","Std..Error","t.value","pval","resp","sumsq","df","statistic","p.value","etasq"
"1","waterperc_s",-0.520374754759716,0.272981563467252,-1.90626336866937,0.105251811891606,"w.t50",0.755,1,3.634,0.105,0.128
"2","K_s",-0.641337201728663,0.281403456161056,-2.27906654196033,0.0628802378678345,"w.t50",1.079,1,5.194,0.063,0.183
"3","Ca_s",0.567785016236547,0.161201831852813,3.52219952906595,0.0124852019578321,"w.t50",2.577,1,12.406,0.012,0.438
"4","Zn_s",-0.108395176135504,0.264832178672027,-0.409297603784557,0.696531297721602,"w.t50",0.035,1,0.168,0.697,0.006
"5","Xylose_s",-0.310703670692446,0.319523910969391,-0.972395680028498,0.368407527148048,"w.t50",0.196,1,0.946,0.368,0.033
"6","waterperc_s",-0.371721362992059,0.405090376557304,-0.917625755889748,0.382746904336172,"beta",1.058,1,0.842,0.383,0.059
"7","K_s",-0.850198768263413,0.405090376557304,-2.09878786923773,0.0652464951427771,"beta",5.532,1,4.405,0.065,0.309
"8","C_s",-0.147408815587746,0.0753196412652952,-1.95710990003967,0.0860415921518508,"alpha",0.116,1,3.83,0.086,0.248
"9","P_s",0.125833042783972,0.0708787958887154,1.7753270383083,0.113758439277918,"alpha",0.095,1,3.152,0.114,0.204
"10","K_s",0.0609416926361806,0.0918382699130898,0.663576226924268,0.525618443454914,"alpha",0.013,1,0.44,0.526,0.029
"11","C_s",-0.0531838333599981,0.0150674549007873,-3.52971578214043,0.00544939149046936,"w.r2",0.031,1,12.459,0.005,0.555
