"","code","alpha","beta","w.r2","w.t50","community","mean","se","n","upper","lower","size"
"1","ACPA",0.0408825605672314,-0.040872519874024,-0.0112184095354558,-0.0456678570959748,"all",181.333333333333,21.6204635575754,3,202.953796890909,159.712869775758,"large"
"2","ACPA",0.0408825605672314,-0.040872519874024,-0.0112184095354558,-0.0456678570959748,"basid",19.3333333333333,2.84800124843918,3,22.1813345817725,16.4853320848942,"large"
"3","ACPA",0.0408825605672314,-0.040872519874024,-0.0112184095354558,-0.0456678570959748,"oo",0,0,3,0,0,"large"
"4","ACPA",0.0408825605672314,-0.040872519874024,-0.0112184095354558,-0.0456678570959748,"patho",10.6666666666667,0.333333333333333,3,11,10.3333333333333,"large"
"5","ACPA",0.0408825605672314,-0.040872519874024,-0.0112184095354558,-0.0456678570959748,"sapro",7.33333333333333,0.666666666666667,3,8,6.66666666666667,"large"
"6","ALLI",-0.0230175036756545,0.870676872030372,-0.0776273676918416,0.637694046732009,"all",216.666666666667,8.41295297608264,3,225.079619642749,208.253713690584,"large"
"7","ALLI",-0.0230175036756545,0.870676872030372,-0.0776273676918416,0.637694046732009,"basid",21.6666666666667,1.85592145427667,3,23.5225881209433,19.81074521239,"large"
"8","ALLI",-0.0230175036756545,0.870676872030372,-0.0776273676918416,0.637694046732009,"oo",1,0.577350269189626,3,1.57735026918963,0.422649730810374,"large"
"9","ALLI",-0.0230175036756545,0.870676872030372,-0.0776273676918416,0.637694046732009,"patho",8.33333333333333,0.666666666666667,3,9,7.66666666666667,"large"
"10","ALLI",-0.0230175036756545,0.870676872030372,-0.0776273676918416,0.637694046732009,"sapro",10,1.52752523165195,3,11.5275252316519,8.47247476834805,"large"
"11","ANBA",0.413928543755144,-0.960325342321259,0.0639913243306515,-0.64998847120327,"all",118.666666666667,6.83942817622773,3,125.506094842894,111.827238490439,"large"
"12","ANBA",0.413928543755144,-0.960325342321259,0.0639913243306515,-0.64998847120327,"basid",12,2.08166599946613,3,14.0816659994661,9.91833400053387,"large"
"13","ANBA",0.413928543755144,-0.960325342321259,0.0639913243306515,-0.64998847120327,"oo",0,0,3,0,0,"large"
"14","ANBA",0.413928543755144,-0.960325342321259,0.0639913243306515,-0.64998847120327,"patho",6,1,3,7,5,"large"
"15","ANBA",0.413928543755144,-0.960325342321259,0.0639913243306515,-0.64998847120327,"sapro",8,1,3,9,7,"large"
"16","BAAE",0.573261334435182,-2.12221796810752,0.0407431209684676,-1.32736413240044,"all",141.666666666667,48.7863824351746,3,190.453049101841,92.8802842314921,"large"
"17","BAAE",0.573261334435182,-2.12221796810752,0.0407431209684676,-1.32736413240044,"basid",16.6666666666667,6.69161996662824,3,23.3582866332949,9.97504670003842,"large"
"18","BAAE",0.573261334435182,-2.12221796810752,0.0407431209684676,-1.32736413240044,"oo",0,0,3,0,0,"large"
"19","BAAE",0.573261334435182,-2.12221796810752,0.0407431209684676,-1.32736413240044,"patho",5.66666666666667,1.85592145427667,3,7.52258812094334,3.81074521238999,"large"
"20","BAAE",0.573261334435182,-2.12221796810752,0.0407431209684676,-1.32736413240044,"sapro",8,4.04145188432738,3,12.0414518843274,3.95854811567262,"large"
"21","EUSC",-0.287674758414705,0.657835197159321,0.0531876228805279,0.373542923492624,"all",108,47.7598157450382,3,155.759815745038,60.2401842549618,"large"
"22","EUSC",-0.287674758414705,0.657835197159321,0.0531876228805279,0.373542923492624,"basid",12.6666666666667,6.74124947205223,3,19.4079161387189,5.92541719461444,"large"
"23","EUSC",-0.287674758414705,0.657835197159321,0.0531876228805279,0.373542923492624,"oo",0,0,3,0,0,"large"
