"","community","codeStem","mean","se","n","upper","lower","time0","time7","time13","time25","time37","time59","code","species","size"
"1","all","acpa1",169,NA,1,NA,NA,1,0.939752951663814,0.855961109717515,0.766270883597383,0.585842799229054,0.242933532738985,"acpa","acpa","small"
"2","all","ACPA1",215,NA,1,NA,NA,1,0.99848570706589,0.972318704078747,0.884385335811421,0.771707035095052,0.45042448835093,"ACPA","acpa","large"
"3","all","acpa3",86,NA,1,NA,NA,1,0.893130803416426,0.834608510535667,0.701291749298782,0.550629096326787,NA,"acpa","acpa","small"
"4","all","ACPA3",141,NA,1,NA,NA,1,0.94073518976082,0.920322284445308,0.869475359570221,0.69418336926363,0.469753037833975,"ACPA","acpa","large"
"5","all","acpa4",112,NA,1,NA,NA,1,NA,0.935185450154789,0.863152660446242,0.712866042176296,0.473801708248098,"acpa","acpa","small"
"6","all","ACPA4",188,NA,1,NA,NA,1,1.01185004836812,0.930129353219625,0.784875755552512,0.803006504123844,0.480919213646715,"ACPA","acpa","large"
"7","all","alli1",112,NA,1,NA,NA,1,0.889006407873792,0.889759604783203,0.70796137223939,0.66884008280237,0.401033037775672,"alli","alli","small"
"8","all","ALLI1",227,NA,1,NA,NA,1,0.963219796258004,0.86226587716366,0.808105611750781,0.717535736439855,0.251258404167002,"ALLI","alli","large"
"9","all","alli2",155,NA,1,NA,NA,1,0.876413917244337,0.88882105409073,0.615641961883726,0.459236570543016,0.317820194005985,"alli","alli","small"
"10","all","ALLI2",223,NA,1,NA,NA,1,0.942303910674095,0.84044938279595,0.688547011761681,0.466245378787515,0.160667127163435,"ALLI","alli","large"
"11","all","alli3",73,NA,1,NA,NA,1,0.987282006628946,0.92700427691682,0.885520519811734,0.909891694398106,0.613222776978238,"alli","alli","small"
"12","all","ALLI3",200,NA,1,NA,NA,1,1.00823692786928,0.974588375718891,0.932475456026155,0.75193625930438,0.490519958827497,"ALLI","alli","large"
"13","all","ANBA1",126,NA,1,NA,NA,1,0.928697432233665,0.85888215683194,0.499526781418129,0.30638767147448,0,"ANBA","anba","large"
"14","all","anba2",168,NA,1,NA,NA,1,0.944535701688744,0.840108389511159,0.774964521424461,0.206519691795909,0.411647348206205,"anba","anba","small"
"15","all","ANBA2",105,NA,1,NA,NA,1,0.880035467414339,0.812450648189341,0.488308030431097,0.226241929583889,0.0597392931707715,"ANBA","anba","large"
"16","all","anba3",184,NA,1,NA,NA,1,1.0815098511963,0.80742521763379,0.397276793307059,0.197918580412338,0.153363685202617,"anba","anba","small"
"17","all","ANBA3",125,NA,1,NA,NA,1,0.972901066130093,0.89688277910138,0.549862643508511,0.160060505050065,NA,"ANBA","anba","large"
"18","all","baae1",177,NA,1,NA,NA,1,0.990991483459343,0.878528798460766,0.732382819287534,NA,0.475257320831843,"baae","baae","small"
"19","all","BAAE1",142,NA,1,NA,NA,1,0.898054801486249,0.846067836006268,0.653733857896598,NA,0.28786098568745,"BAAE","baae","large"
"20","all","baae2",65,NA,1,NA,NA,1,NA,0.707398805640817,0.611263780228703,0.260935145175197,0.280732174376676,"baae","baae","small"
"21","all","BAAE2",57,NA,1,NA,NA,1,0.91781078475303,0.858823867313535,0.68874762466435,0.174157495391129,0.0762191821044978,"BAAE","baae","large"
"22","all","baae3",190,NA,1,NA,NA,1,0.904355883704532,0.866381218116356,0.608432759583985,0.249815045263392,0.772642587226904,"baae","baae","small"
