"","community","codeStem","mean","se","n","upper","lower","size","time13","time25","time37","time59","time7"
"1","all","acpa1",169,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"2","all","ACPA1",215,NA,1,NA,NA,"large",-0.00138679819732471,-0.00344590702296178,0.151742582609904,0.0204441406232944,0.0240617118222821
"3","all","acpa3",86,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"4","all","ACPA3",141,NA,1,NA,NA,"large",-0.0246350956716952,0.0300286126154735,0.0852883764182221,0.0330306083426673,-0.028687944393657
"5","all","acpa4",112,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"6","all","ACPA4",188,NA,1,NA,NA,"large",0.0352073906636932,1.41249191091327e-06,0.226373160096887,0.0963719647315434,0.0519355937493095
"7","all","alli1",112,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"8","all","ALLI1",227,NA,1,NA,NA,"large",-0.0196621438179702,0.156384978829923,0.178553120266486,0.0332637005191792,0.0271474751415853
"9","all","alli2",155,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"10","all","ALLI2",223,NA,1,NA,NA,"large",-0.0803598680245759,-0.0725674821661687,-0.132818186088387,-0.204997625597132,-0.00429839259478385
"11","all","alli3",73,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"12","all","ALLI3",200,NA,1,NA,NA,"large",0.0712828166832786,0.174620955360667,0.218197071381413,0.168188779506885,0.070861565483158
"13","all","ANBA1",126,NA,1,NA,NA,"large",-0.0290296042837986,-0.143146130375669,-0.146151203959608,-0.200971706433762,-0.00895966880536467
"14","all","anba2",168,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"15","all","ANBA2",105,NA,1,NA,NA,"large",-0.0689161119052862,-0.161435973832984,-0.229646913899067,-0.193062651016472,-0.0688911797410354
"16","all","anba3",184,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"17","all","ANBA3",125,NA,1,NA,NA,"large",-0.00384502148788092,-0.119618910303217,-0.285414307324452,NA,0.0230939856843784
"18","all","baae1",177,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"19","all","BAAE1",142,NA,1,NA,NA,"large",-0.0304566973492626,-0.0136782385665855,NA,-0.103729738297594,-0.0497801083891046
"20","all","baae2",65,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"21","all","BAAE2",57,NA,1,NA,NA,"large",-0.0611885672623495,-0.0106367063473712,-0.2925095061621,-0.285296515263506,-0.039814543310898
"22","all","baae3",190,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"23","all","BAAE3",226,NA,1,NA,NA,"large",0.0669300803363335,0.136856580807527,0.0431748425436608,-0.104737829006188,0.0597796802679592
"24","all","EUSC1",187,NA,1,NA,NA,"large",-0.0103093312475058,-0.0644977423027906,0.0165088750410433,-0.0580872595783388,0.0318452186181509
"25","all","EUSC2",115,NA,1,NA,NA,"large",0.0210028761677434,-0.0233872748683022,0.0765059992830461,0.147665661189599,-0.0119398606324432
"26","all","EUSC3",22,NA,1,NA,NA,"large",-0.0412911873500331,-0.0134152186208497,0.121533934069521,0.113841300025697,-0.00773448316414358
"27","all","eute1",101,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"28","all","EUTE1",117,NA,1,NA,NA,"large",0.00438388794780288,-0.0355508416420464,0.27572240224673,-0.0578726467732574,-0.0154809709851758
"29","all","eute2",72,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"30","all","EUTE2",182,NA,1,NA,NA,"large",NA,0.135310969938294,0.1331261695695,0.152076484843188,-0.023548130708831
"31","all","eute3",96,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"32","all","EUTE3",129,NA,1,NA,NA,"large",0.0504145972954337,0.00691310008333362,NA,0.198876860472495,0.00908738235592671
"33","all","excu1",80,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"34","all","EXCU1",165,NA,1,NA,NA,"large",0.0371261565888166,0.0337827171326814,-0.154788849982868,0.0369093741705892,0.0138872766756207
"35","all","excu2",216,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"36","all","EXCU2",228,NA,1,NA,NA,"large",0.00910086402500308,0.0323737308485944,-0.12119589855132,-0.152794925258833,-0.0184819451891311
"37","all","excu3",66,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
