code,species,size,seq_sampName,codeStem
acel,acel,small,acelB,NA
acel,acel,small,acelA,NA
acel,acel,small,acel,NA
acpa,acpa,small,acpa4,acpa4
acpa,acpa,small,acpa1,acpa1
acpa,acpa,small,acpa2,NA
acpa,acpa,small,acpa3,acpa3
ACPA,acpa,large,ACPA1,ACPA1
ACPA,acpa,large,ACPA3,ACPA3
ACPA,acpa,large,ACPA4,ACPA4
alli,alli,small,alli2,alli2
alli,alli,small,alli3,alli3
alli,alli,small,alli1,alli1
ALLI,alli,large,ALLI1,ALLI1
ALLI,alli,large,ALLI2,ALLI2
ALLI,alli,large,ALLI3,ALLI3
anba,anba,small,anba2,anba2
anba,anba,small,anba3,anba3
ANBA,anba,large,ANBA1,ANBA1
ANBA,anba,large,ANBA2,ANBA2
ANBA,anba,large,ANBA3,ANBA3
baae,baae,small,baae1,baae1
baae,baae,small,baae2,baae2
baae,baae,small,baae3,baae3
BAAE,baae,large,BAAE1,BAAE1
BAAE,baae,large,BAAE2,BAAE2
BAAE,baae,large,BAAE3,BAAE3
basp,basp,small,baspA,NA
basp,basp,small,baspB,NA
basp,basp,small,baspC,NA
basp,basp,small,basp,NA
cali,cali,small,caliA,NA
cali,cali,small,caliB,NA
cali,cali,small,cali,NA
cota,cota,small,cotaB,NA
cota,cota,small,cotaA,NA
cota,cota,small,cota,NA
eusc,eusc,small,NA,NA
EUSC,eusc,large,EUSC1,EUSC1
EUSC,eusc,large,EUSC2,EUSC2
EUSC,eusc,large,EUSC3,EUSC3
eute,eute,small,eute3,eute3
eute,eute,small,eute2,eute2
eute,eute,small,eute1,eute1
EUTE,eute,large,EUTE1,EUTE1
EUTE,eute,large,EUTE2,EUTE2
EUTE,eute,large,EUTE3,EUTE3
excu,excu,small,excu2,excu2
excu,excu,small,excu3,excu3
excu,excu,small,excu1,excu1
EXCU,excu,large,EXCU1,EXCU1
EXCU,excu,large,EXCU2,EXCU2
EXCU,excu,large,EXCU3,EXCU3
hase,hase,small,haseA,NA
hase,hase,small,haseB,NA
hase,hase,small,hase,NA
isan,isan,small,isanB,NA
isan,isan,small,isanA,NA
isan,isan,small,isan,NA
jasc,jasc,small,jasc3,jasc3
jasc,jasc,small,jasc2,jasc2
jasc,jasc,small,jasc1,jasc1
JASC,jasc,large,JASC1,JASC1
JASC,jasc,large,JASC2,JASC2
JASC,jasc,large,JASC3,JASC3
leer,leer,small,leerA,NA
leer,leer,small,leerB,NA
leer,leer,small,leerC,NA
leer,leer,small,leerD,NA
leer,leer,small,leerE,NA
leer,leer,small,leer,NA
lepa,lepa,small,lepa3,lepa3
lepa,lepa,small,lepa4,NA
lepa,lepa,small,lepa2,lepa2
LEPA,lepa,large,LEPA1,LEPA1
LEPA,lepa,large,LEPA2,LEPA2
LEPA,lepa,large,LEPA3,LEPA3
LEPA,lepa,large,LEPA4,LEPA4
mede,mede,small,mede1,mede1
mede,mede,small,mede2,mede2
mede,mede,small,mede3,mede3
MEDE,mede,large,MEDE1,MEDE1
MEDE,mede,large,MEDE2,MEDE2
MEDE,mede,large,MEDE3,MEDE3
olst,olst,small,olstB,NA
olst,olst,small,olstA,NA
olst,olst,small,olst,NA
peli,peli,small,peli1,peli1
peli,peli,small,peli2,peli2
peli,peli,small,peli3,peli3
PELI,peli,large,PELI1,PELI1
PELI,peli,large,PELI2,PELI2
PELI,peli,large,PELI3,PELI3
penu,penu,small,penuA,NA
penu,penu,small,penuB,NA
penu,penu,small,penu,NA
pepu,pepu,small,pepu1,pepu1
pepu,pepu,small,pepu2,pepu2
pepu,pepu,small,pepu3,pepu3
PEPU,pepu,large,PEPU1,PEPU1
PEPU,pepu,large,PEPU2,PEPU2
PEPU,pepu,large,PEPU3,PEPU3
ripi,ripi,small,ripiB,NA
ripi,ripi,small,ripiA,NA
ripi,ripi,small,ripi,NA
