code,nStems,species,size,Family,Binomial,Collection site,Fine branch (1-2 cm diameter),Wood (5-9 cm diameter)
acel,30,acel,small,Fabaceae,Acacia elongata,Agnes Banks,x,NA
acpa,30,acpa,small,Fabaceae,Acacia parramattensis,Castlreagh,x,x
ACPA,30,acpa,large,Fabaceae,Acacia parramattensis,Castlreagh,x,x
alli,30,alli,small,Casuarinaceae,Allocasuarina littoralis,Castlreagh,x,x
ALLI,30,alli,large,Casuarinaceae,Allocasuarina littoralis,Castlreagh,x,x
anba,30,anba,small,Myrtaceae,Angophora bakeri,Castlreagh,x,x
ANBA,30,anba,large,Myrtaceae,Angophora bakeri,Castlreagh,x,x
baae,30,baae,small,Proteaceae,Banksia aemula,Agnes Banks,x,x
BAAE,30,baae,large,Proteaceae,Banksia aemula,Agnes Banks,x,x
basp,30,basp,small,Proteaceae,Banksia spinulosa,Castlreagh,x,NA
cali,30,cali,small,Myrtaceae,Callistemon linearis,Agnes Banks,x,NA
cota,30,cota,small,Proteaceae,Conospermum taxifolium,Agnes Banks,x,NA
eusc,30,eusc,small,Myrtaceae,Eucalyptus sclerophylla,Castlreagh,x,x
EUSC,30,eusc,large,Myrtaceae,Eucalyptus sclerophylla,Castlreagh,x,x
eute,30,eute,small,Myrtaceae,Eucalyptus tereticornis,UWS near Face,x,x
EUTE,30,eute,large,Myrtaceae,Eucalyptus tereticornis,UWS near Face,x,x
excu,30,excu,small,Santalaceae,Exocarpos cupressiformis,Castlreagh,x,x
EXCU,30,excu,large,Santalaceae,Exocarpos cupressiformis,Castlreagh,x,x
hase,30,hase,small,Proteaceae,Hakea sericea,Castlreagh,x,NA
isan,30,isan,small,Proteaceae,Isopogon anemonifolius,Agnes Banks,x,NA
jasc,30,jasc,small,Fabaceae,Jacksonia scoparia,UWS Flux,x,x
JASC,30,jasc,large,Fabaceae,Jacksonia scoparia,UWS Flux,x,x
leer,30,leer,small,Ericaceae,Leucopogon ericoides,Agnes Banks,x,NA
lepa,30,lepa,small,Myrtaceae,Leptospermum parvifolium,Agnes Banks,x,x
LEPA,30,lepa,large,Myrtaceae,Leptospermum parvifolium,Agnes Banks,x,x
mede,30,mede,small,Myrtaceae,Melaleuca decora,UWS Flux,x,x
MEDE,30,mede,large,Myrtaceae,Melaleuca decora,UWS Flux,x,x
olst,30,olst,small,Olacaceae,Olax stricta,Agnes Banks,x,NA
peli,30,peli,small,Proteaceae,Persoonia linearis,Castlreagh,x,x
PELI,30,peli,large,Proteaceae,Persoonia linearis,Castlreagh,x,x
penu,30,penu,small,Proteaceae,Persoonia nutans,Agnes Banks,x,NA
pepu,30,pepu,small,Proteaceae,Petrophile pulchella,Agnes Banks,x,x
PEPU,30,pepu,large,Proteaceae,Petrophile pulchella,Agnes Banks,x,x
ripi,30,ripi,small,Euphorbiaceae,Ricinocarpus pinifolius,Agnes Banks,x,NA
