"","trim","stat","k","t70","ne.r2","alpha","beta","w.t70","w.r2","time7","time13","time25","time37","time59"
"1","yes","RMSE",0.1,0.67,0.08,0.41,1.64,0.59,0.1,0.06,0.1,0.13,0.18,0.19
"2","yes","R2",0.04,0,0,0.01,0.01,0,0.02,0.17,0,0.11,0.16,0.03
"3","yes","Avg.Bias",-0.01,0.07,-0.01,-0.07,0.19,0.03,-0.01,0,0,0.02,0.03,0.01
"4","yes","Max.Bias",0.27,1.72,0.2,0.8,4.02,1.39,0.23,0.14,0.42,0.23,0.3,0.52
"5","yes","Skill",-58.6,-23.69,-53.07,-76.73,-37.97,-16.6,-79.76,13.46,-30.72,-1.47,7.09,-8.79
"6","yes","delta.RMSE",25.94,11.22,23.72,32.94,17.46,7.98,34.07,-6.98,14.33,0.73,-3.61,4.3
"7","yes","p",1,0.98,1,0.98,1,0.93,1,0.21,0.97,0.55,0.32,0.73
"8","no","RMSE",0.09,0.6,0.07,0.35,1.48,0.54,0.08,0.06,0.09,0.13,0.16,0.22
"9","no","R2",0.01,0.05,0.01,0,0.01,0.06,0,0.14,0.03,0.15,0.29,0
"10","no","Avg.Bias",0,0.02,0,-0.04,0.1,-0.01,0,0,-0.01,0,0,0
"11","no","Max.Bias",0.25,1.7,0.22,0.94,4.38,1.36,0.25,0.15,0.38,0.24,0.31,0.56
"12","no","Skill",-14.56,-1.51,-17.09,-30.35,-12.74,1.34,-27.38,6.37,-19.97,5.51,25.53,-42.23
"13","no","delta.RMSE",7.03,0.75,8.21,14.17,6.18,-0.67,12.86,-3.24,9.53,-2.8,-13.71,19.26
"14","no","p",0.79,0.54,0.86,0.88,0.73,0.44,0.93,0.34,0.9,0.34,0.06,0.93
