"","trim","stat","k","t70","ne.r2","alpha","beta","w.t70","w.r2","time7","time13","time25","time37","time59"
"1","yes","RMSE",0.05,0.33,0.06,0.28,0.93,0.28,0.07,0.05,0.07,0.1,0.13,0.15
"2","yes","R2",0.02,0.04,0,0,0,0.02,0.07,0.1,0.23,0.02,0.01,0
"3","yes","Avg.Bias",0,0.05,0,-0.02,0.11,0.02,-0.01,0,0,0.01,0.01,-0.01
"4","yes","Max.Bias",0.1,0.76,0.14,0.41,2.25,0.63,0.13,0.1,0.31,0.25,0.26,0.33
"5","yes","Skill",-81.83,-38.96,-61.26,-66.22,-66.59,-39.43,-112.21,2.08,-78.34,-39.6,-26.71,-42.68
"6","yes","delta.RMSE",34.84,17.88,26.99,28.93,29.07,18.08,45.67,-1.05,33.54,18.15,12.56,19.45
"7","yes","p",1,0.88,0.97,0.94,0.98,0.89,1,0.46,1,1,0.92,0.99
"8","no","RMSE",0.04,0.31,0.06,0.26,0.8,0.27,0.06,0.06,0.07,0.1,0.15,0.17
"9","no","R2",0.02,0,0.01,0,0,0,0.06,0.02,0.04,0.01,0,0.02
"10","no","Avg.Bias",0,0.04,0,-0.02,0.11,0.02,0,0,0,0,-0.01,-0.01
"11","no","Max.Bias",0.11,0.88,0.13,0.42,2.22,0.82,0.12,0.14,0.26,0.24,0.22,0.45
"12","no","Skill",-38.78,-19.11,-38.31,-42.65,-23.79,-33.53,-66.86,-25.75,-63.99,-24.84,-51.01,-99.5
"13","no","delta.RMSE",17.81,9.14,17.6,19.44,11.26,15.56,29.17,12.14,28.06,11.73,22.89,41.25
"14","no","p",1,0.95,0.98,0.94,0.96,0.94,1,0.92,1,0.96,0.98,1
