"","OTUId","taxonomy","kingdom","phylum","class","order","family","genus","Trophic.Mode","Guild","Confidence.Ranking","species","OTUId_ann"
"1","ITSall_OTUa_1164","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Valsaceae;g__Cytospora;s__Cytospora_eucalypticola;","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthales","Cytospora","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Plant Pathogen-Wood Saprotroph","Probable","Cytospora_eucalypticola","Cytospora_eucalypticola"
"2","ITSall_OTUa_1435","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;g__Phaeomoniella;s__Phaeomoniella_sp;","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellales","Phaeomoniella","Pathotroph","Plant Pathogen","Highly Probable","Phaeomoniella_sp1","Phaeomoniella_sp1"
"3","ITSall_OTUa_1619","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Catenulostroma;s__Catenulostroma_hermanusense;","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Catenulostroma","Pathotroph","Plant Pathogen","Probable","Catenulostroma_hermanusense","Catenulostroma_hermanusense"
"4","ITSall_OTUa_3856","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Teratosphaeria;s__Teratosphaeria_mexicana;","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales","Teratosphaeria","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Probable","Teratosphaeria_mexicana","Teratosphaeria_mexicana"
"5","ITSall_OTUa_401","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__Coniothyrium_olivaceum;","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Coniothyrium","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Highly Probable","Coniothyrium_olivaceum","Coniothyrium_olivaceum"
"6","ITSall_OTUa_4465","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Pestalotiopsis_maculiformans;","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales","Pestalotiopsis","Pathotroph","Plant Pathogen","Probable","Pestalotiopsis_maculiformans","Pestalotiopsis_maculiformans"
"7","ITSall_OTUa_8100","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_sideris;","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales","Exophiala","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Probable","Exophiala_sideris","Exophiala_sideris"
"8","ITSall_OTUb_429","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Pestalotiopsis_microspora;","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales","Pestalotiopsis","Pathotroph","Plant Pathogen","Probable","Pestalotiopsis_microspora","Pestalotiopsis_microspora"
"9","ITSall_OTUc_6","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Didymosphaeria;s__Didymosphaeria_variabile;","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Didymosphaeria","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Probable","Didymosphaeria_variabile","Didymosphaeria_variabile"
"10","ITSall_OTUd_35","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Mollisia;s__Mollisia_sp;","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales","Mollisia","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","Probable","Mollisia_sp2","Mollisia_sp2"
