"","term","alpha","beta","k","ne.r2","t70","w.r2","w.t70","source"
"Richness.1","(Intercept)","-0.23 ","1.2 ","-0.015 ","-0.041 ","0.24 ","-0.049 ","0.046 ","Richness"
"Richness.2","mean","0.0015 ","-0.0074 ","9.8e-05 ","0.00032 ","-0.0015 ","0.00031 ","-0.00029 ","Richness"
"Richness.3","sizesmall","0.069 ","-1.3 ","0.031 ","0.051 ","-0.18 ","0.084 ","-0.1 ","Richness"
"Richness.4","sizesmall:mean","-5e-04 ","0.0083 ","-0.00019 ","-0.00041 ","0.0011 ","-0.00052 ","0.00063 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","0.53","0.58","0.13","0.52","0.18","0.43","0.03","Richness"
"Richness.numdf","numdf","3","3","3","3","3","3","3","Richness"
"Richness.dendf","dendf","29","29","29","29","29","29","29","Richness"
"Richness.r.squared","r.squared","0.05","0.06","0.01","0.05","0.02","0.04","0","Richness"
"ShannonsH.1","(Intercept)","0.48 ","0.88 ","-0.0072 ","-0.17 ","0.043 ","-0.082 ","0.094 ","ShannonsH"
"ShannonsH.2","mean","-0.14 ","-0.25 ","0.0021 ","0.052 ","-0.012 ","0.023 ","-0.027 ","ShannonsH"
"ShannonsH.3","sizesmall","-0.94 ","-0.22 ","0.0099 ","0.077 ","0.13 ","0.0042 ","-0.24 ","ShannonsH"
"ShannonsH.4","sizesmall:mean","0.27 ","0.065 ","-0.0028 ","-0.026 ","-0.035 ","-0.0014 ","0.067 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","0.94","0.18","0","1.65","0.05","0.47","0.06","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","29","29","29","29","29","29","29","ShannonsH"
"ShannonsH.r.squared","r.squared","0.09","0.02","0","0.15","0.01","0.05","0.01","ShannonsH"
"Sapro.rich.1","(Intercept)","-0.5 ","2.6 **","-0.11 *","0.053 ","0.84 *","0.035 ","0.53 ","Sapro.rich"
"Sapro.rich.2","mean","0.024 ","-0.12 **","0.0053 *","-0.0021 ","-0.04 *","-0.0017 ","-0.025 ","Sapro.rich"
"Sapro.rich.3","sizesmall","0.23 ","-2.2 ","0.061 ","-0.074 ","-0.45 ","-0.06 ","-0.31 ","Sapro.rich"
"Sapro.rich.4","sizesmall:mean","-0.0087 ","0.1 ","-0.0025 ","0.003 ","0.018 ","0.0031 ","0.013 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.Fstat","Fstat","2.07","2.85","3.66","0.43","3.15","0.21","1.44","Sapro.rich"
"Sapro.rich.numdf","numdf","3","3","3","3","3","3","3","Sapro.rich"
"Sapro.rich.dendf","dendf","29","29","29","29","29","29","29","Sapro.rich"
"Sapro.rich.r.squared","r.squared","0.18","0.23","0.27","0.04","0.25","0.02","0.13","Sapro.rich"
"Basidio.rich.1","(Intercept)","-0.035 ","0.42 ","5e-05 ","-0.051 ","0.015 ","-0.053 ","-0.019 ","Basidio.rich"
"Basidio.rich.2","mean","0.0011 ","-0.013 ","-1.6e-06 ","0.0019 ","-0.00049 ","0.0017 ","0.00062 ","Basidio.rich"
"Basidio.rich.3","sizesmall","-0.18 ","-0.5 ","0.038 ","0.032 ","-0.013 ","0.064 ","-0.17 ","Basidio.rich"
"Basidio.rich.4","sizesmall:mean","0.0045 ","0.016 ","-0.00098 ","-0.0016 ","0.00044 ","-0.002 ","0.0043 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.Fstat","Fstat","0.46","0.15","0.49","1.02","0","0.51","0.27","Basidio.rich"
"Basidio.rich.numdf","numdf","3","3","3","3","3","3","3","Basidio.rich"
"Basidio.rich.dendf","dendf","29","29","29","29","29","29","29","Basidio.rich"
"Basidio.rich.r.squared","r.squared","0.05","0.01","0.05","0.1","0","0.05","0.03","Basidio.rich"
"Patho.rich.1","(Intercept)","0.049 ","-0.13 ","0.0062 ","-0.059 ","-0.15 ","-0.05 ","-0.11 ","Patho.rich"
"Patho.rich.2","mean","-0.0034 ","0.0087 ","-0.00042 ","0.0047 *","0.01 ","0.0034 ","0.0074 ","Patho.rich"
"Patho.rich.3","sizesmall","-0.17 ","0.064 ","-0.012 ","0.028 ","0.19 ","0.037 ","0.046 ","Patho.rich"
"Patho.rich.4","sizesmall:mean","0.011 ","-0.0049 ","8e-04 ","-0.0032 ","-0.013 ","-0.0026 ","-0.0037 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.Fstat","Fstat","0.35","0.03","0.05","2.2","0.2","0.74","0.2","Patho.rich"
"Patho.rich.numdf","numdf","3","3","3","3","3","3","3","Patho.rich"
"Patho.rich.dendf","dendf","29","29","29","29","29","29","29","Patho.rich"
"Patho.rich.r.squared","r.squared","0.04","0","0","0.19","0.02","0.07","0.02","Patho.rich"
"Oomy.rich.1","(Intercept)","0.0078 ","0.063 ","-0.0012 ","0.0072 ","0.042 ","0.0035 ","0.029 ","Oomy.rich"
"Oomy.rich.2","mean","-0.035 ","-0.28 ","0.0053 ","0.0097 ","-0.19 ","-0.016 ","-0.13 ","Oomy.rich"
"Oomy.rich.3","sizesmall","-0.031 ","-0.11 ","0.0043 ","-0.0067 ","-0.055 ","0.002 ","-0.061 ","Oomy.rich"
"Oomy.rich.4","sizesmall:mean","0.14 ","0.48 ","-0.019 ","-0.036 ","0.25 ","-0.0091 ","0.28 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.Fstat","Fstat","0.17","0.2","0.12","0.46","0.46","0.25","0.55","Oomy.rich"
"Oomy.rich.numdf","numdf","3","3","3","3","3","3","3","Oomy.rich"
"Oomy.rich.dendf","dendf","29","29","29","29","29","29","29","Oomy.rich"
"Oomy.rich.r.squared","r.squared","0.02","0.02","0.01","0.05","0.04","0.03","0.05","Oomy.rich"
