"","term","time13","time25","time37","time7","source"
"Richness.1","(Intercept)","0.885 +/- 0.038 ***","0.558 +/- 0.068 ***","0.491 +/- 0.094 ***","0.907 +/- 0.031 ***","Richness"
"Richness.2","sizesmall","-0.039 +/- 0.057 ","0.167 +/- 0.097 ","0.175 +/- 0.137 ","-0.015 +/- 0.047 ","Richness"
"Richness.3","sizesmall:sub_rich","0 +/- 0 ","-0.001 +/- 0.001 *","-0.002 +/- 0.001 *","0 +/- 0 ","Richness"
"Richness.4","sub_rich","0 +/- 0 ","0.001 +/- 0 *","0 +/- 0.001 ","0 +/- 0 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","6.9","3.06","2.66","4.07","Richness"
"Richness.numdf","numdf","3","3","3","3","Richness"
"Richness.dendf","dendf","59","59","57","61","Richness"
"Richness.r.squared","r.squared","0.26","0.13","0.12","0.17","Richness"
"ShannonsH.1","(Intercept)","0.844 +/- 0.079 ***","0.41 +/- 0.138 **","0.268 +/- 0.194 ","0.874 +/- 0.062 ***","ShannonsH"
"ShannonsH.2","sizesmall","0.006 +/- 0.106 ","0.327 +/- 0.194 ","0.47 +/- 0.257 ","-0.074 +/- 0.083 ","ShannonsH"
"ShannonsH.3","sizesmall:sub_rich","-0.026 +/- 0.03 ","-0.109 +/- 0.055 ","-0.16 +/- 0.074 *","0.009 +/- 0.024 ","ShannonsH"
"ShannonsH.4","sub_rich","0.018 +/- 0.022 ","0.081 +/- 0.039 *","0.076 +/- 0.054 ","0.021 +/- 0.017 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","6.94","2.63","2.54","5.16","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","59","59","57","61","ShannonsH"
"ShannonsH.r.squared","r.squared","0.26","0.12","0.12","0.2","ShannonsH"
"Sapro.rich.1","(Intercept)","0.879 +/- 0.045 ***","0.612 +/- 0.075 ***","0.486 +/- 0.111 ***","0.917 +/- 0.036 ***","Sapro.rich"
"Sapro.rich.2","sizesmall","-0.03 +/- 0.059 ","0.169 +/- 0.099 ","0.255 +/- 0.151 ","0.006 +/- 0.049 ","Sapro.rich"
"Sapro.rich.3","sizesmall:sub_rich","-0.003 +/- 0.003 ","-0.014 +/- 0.005 *","-0.022 +/- 0.009 *","-0.003 +/- 0.003 ","Sapro.rich"
"Sapro.rich.4","sub_rich","0.001 +/- 0.002 ","0.004 +/- 0.003 ","0.002 +/- 0.005 ","0.002 +/- 0.002 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.Fstat","Fstat","6.99","3.24","3.91","3.75","Sapro.rich"
"Sapro.rich.numdf","numdf","3","3","3","3","Sapro.rich"
"Sapro.rich.dendf","dendf","59","59","57","61","Sapro.rich"
"Sapro.rich.r.squared","r.squared","0.26","0.14","0.17","0.16","Sapro.rich"
"Basidio.rich.1","(Intercept)","0.881 +/- 0.029 ***","0.622 +/- 0.053 ***","0.516 +/- 0.072 ***","0.924 +/- 0.023 ***","Basidio.rich"
"Basidio.rich.2","sizesmall","-0.055 +/- 0.046 ","0.069 +/- 0.078 ","0.065 +/- 0.109 ","-0.045 +/- 0.037 ","Basidio.rich"
"Basidio.rich.3","sizesmall:sub_rich","-0.001 +/- 0.001 ","-0.004 +/- 0.002 ","-0.004 +/- 0.003 ","0 +/- 0.001 ","Basidio.rich"
"Basidio.rich.4","sub_rich","0.001 +/- 0.001 ","0.002 +/- 0.002 ","0.001 +/- 0.002 ","0.001 +/- 0.001 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.Fstat","Fstat","7.05","2.06","1.89","4.05","Basidio.rich"
"Basidio.rich.numdf","numdf","3","3","3","3","Basidio.rich"
"Basidio.rich.dendf","dendf","59","59","57","61","Basidio.rich"
"Basidio.rich.r.squared","r.squared","0.26","0.09","0.09","0.17","Basidio.rich"
"Patho.rich.1","(Intercept)","0.893 +/- 0.026 ***","0.631 +/- 0.049 ***","0.49 +/- 0.063 ***","0.946 +/- 0.021 ***","Patho.rich"
"Patho.rich.2","sizesmall","-0.009 +/- 0.044 ","0.061 +/- 0.074 ","0.149 +/- 0.102 ","-0.063 +/- 0.036 ","Patho.rich"
"Patho.rich.3","sizesmall:sub_rich","-0.006 +/- 0.003 ","-0.008 +/- 0.005 ","-0.017 +/- 0.007 *","0.001 +/- 0.002 ","Patho.rich"
"Patho.rich.4","sub_rich","0.001 +/- 0.002 ","0.004 +/- 0.003 ","0.003 +/- 0.004 ","0 +/- 0.001 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.Fstat","Fstat","8.26","2.03","3.24","3.43","Patho.rich"
"Patho.rich.numdf","numdf","3","3","3","3","Patho.rich"
"Patho.rich.dendf","dendf","59","59","57","61","Patho.rich"
"Patho.rich.r.squared","r.squared","0.3","0.09","0.15","0.14","Patho.rich"
"Oomy.rich.1","(Intercept)","0.908 +/- 0.013 ***","0.682 +/- 0.022 ***","0.52 +/- 0.033 ***","0.951 +/- 0.01 ***","Oomy.rich"
"Oomy.rich.2","sizesmall","-0.078 +/- 0.02 ***","-0.035 +/- 0.034 ","-0.044 +/- 0.051 ","-0.046 +/- 0.016 **","Oomy.rich"
"Oomy.rich.3","sizesmall:sub_rich","-0.033 +/- 0.035 ","-0.121 +/- 0.064 ","-0.147 +/- 0.084 ","-0.01 +/- 0.029 ","Oomy.rich"
"Oomy.rich.4","sub_rich","0.002 +/- 0.018 ","0.101 +/- 0.043 *","0.064 +/- 0.046 ","-0.009 +/- 0.015 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.Fstat","Fstat","7.05","2.89","2.02","3.63","Oomy.rich"
"Oomy.rich.numdf","numdf","3","3","3","3","Oomy.rich"
"Oomy.rich.dendf","dendf","59","59","57","61","Oomy.rich"
"Oomy.rich.r.squared","r.squared","0.26","0.13","0.1","0.15","Oomy.rich"
