"","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn"
"waterperc",1,-0.68,0.02,0.12,-0.18,0.21,0.11,0.15,-0.43,-0.03,-0.09
"density",-0.68,1,0.21,-0.07,0.03,-0.1,-0.16,-0.34,0.19,-0.03,-0.06
"barkthick",0.02,0.21,1,0.58,0.44,-0.11,-0.31,-0.32,-0.23,-0.21,-0.02
"C",0.12,-0.07,0.58,1,0.18,-0.25,-0.54,-0.3,-0.44,-0.05,-0.21
"N",-0.18,0.03,0.44,0.18,1,-0.09,0.09,0.23,0.15,0.12,-0.18
"P",0.21,-0.1,-0.11,-0.25,-0.09,1,0.24,0.08,0.17,0.06,0.04
"K",0.11,-0.16,-0.31,-0.54,0.09,0.24,1,0.46,0.37,0.05,0.02
"Ca",0.15,-0.34,-0.32,-0.3,0.23,0.08,0.46,1,-0.03,0.25,-0.01
"Fe",-0.43,0.19,-0.23,-0.44,0.15,0.17,0.37,-0.03,1,0.12,0.22
"Mn",-0.03,-0.03,-0.21,-0.05,0.12,0.06,0.05,0.25,0.12,1,-0.08
"Zn",-0.09,-0.06,-0.02,-0.21,-0.18,0.04,0.02,-0.01,0.22,-0.08,1
