"","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn"
"waterperc",1,-0.69,0.04,0.13,-0.18,0.15,0.03,0.05,-0.4,-0.07,-0.05
"density",-0.69,1,0.14,-0.05,0.12,-0.11,-0.08,-0.22,0.19,-0.01,-0.08
"barkthick",0.04,0.14,1,0.48,0.43,-0.09,-0.29,-0.25,-0.17,-0.15,-0.01
"C",0.13,-0.05,0.48,1,0.12,-0.25,-0.51,-0.27,-0.44,-0.09,-0.14
"N",-0.18,0.12,0.43,0.12,1,0.08,0.1,0.26,0.14,0.26,-0.11
"P",0.15,-0.11,-0.09,-0.25,0.08,1,0.25,0.17,0.16,0.24,0.13
"K",0.03,-0.08,-0.29,-0.51,0.1,0.25,1,0.38,0.33,0.06,0.03
"Ca",0.05,-0.22,-0.25,-0.27,0.26,0.17,0.38,1,0.04,0.31,0.04
"Fe",-0.4,0.19,-0.17,-0.44,0.14,0.16,0.33,0.04,1,0.12,0.16
"Mn",-0.07,-0.01,-0.15,-0.09,0.26,0.24,0.06,0.31,0.12,1,-0.03
"Zn",-0.05,-0.08,-0.01,-0.14,-0.11,0.13,0.03,0.04,0.16,-0.03,1
