"","code","Binomial","alpha","lower2.alpha","upper2.alpha","beta","lower1.beta","upper1.beta","w.t50","w.aic","w.r2"
"1","acel","Acacia elongata",1.59947294311516,1.24851168708842,2.19674240400307,3.72507699007984,3.24795395627106,4.45103094236885,2.9623,-115.573463982309,0.872287052644888
"2","acpa","Acacia parramattensis",1.27226958016693,1.05582729880458,1.61094518500618,5.72380694375612,4.95016341140195,6.74392362179848,4.2912,-171.692966520151,0.88847383023188
"3","ACPA","Acacia parramattensis",1.74870891482734,1.51911333444193,2.05977683329973,5.78979400249511,5.36442587524438,6.35266246953877,4.6951,-306.237427002053,0.957633985812428
"4","alli","Allocasuarina littoralis",1.24066096354277,0.953538129253589,1.64676978666966,5.69726021855712,4.65646133565581,7.56689174310559,4.2401,-137.12837501858,0.829354627592327
"5","ALLI","Allocasuarina littoralis",1.57807380882344,1.15813332503521,2.22757238665,5.10967779390233,4.35923607235053,6.56114477507486,4.0507,-167.629840053906,0.85455521564223
"6","anba","Angophora bakeri",1.61275866358964,1.27590387832314,2.62551207612963,2.75909984648637,2.42443761664681,3.22308191166106,2.1983,-104.108684587741,0.892963343245572
"7","ANBA","Angophora bakeri",1.97028872702754,1.72148939742806,2.30952634306069,2.61638419625403,2.46513513319787,2.77436539259003,2.1723,-256.262089670445,0.979382493021891
"8","baae","Banksia aemula",1.07120629209879,0.773112588463116,1.51055448535615,3.90767258401078,3.03950357557994,6.12131927841595,2.7754,-82.6794764609433,0.799419229234461
"9","BAAE","Banksia aemula",1.99313916142233,1.5928466818993,4.12529234413763,3.18539709014473,2.67814690393215,3.7172157158065,2.6504,-150.124255033367,0.909463933293968
"10","basp","Banksia spinulosa",1.14732881550514,0.849925237932792,1.53098260099783,3.93167439059345,3.36977317529736,4.95877478197448,2.8566,-124.338565356698,0.867250799441941
"11","cali","Callistemon linearis",0.837059215998538,0.672034743997256,1.27673998404219,7.40664483095435,4.49013464303701,10,4.7804,-82.986263388765,0.661340543814098
"12","cota","Conospermum taxifolium",1.34680327533408,1.06821755030777,2.0411982831475,2.59088823965549,2.18080023140476,3.1497380090205,1.9737,-103.561120776076,0.894723946659118
"13","eusc","Eucalyptus sclerophylla",1.82386328819168,1.53403944417424,2.43624934670996,2.84314137093627,2.45324615160588,3.26406282765254,2.3256,-120.86920046724,0.91368099118159
"14","EUSC","Eucalyptus sclerophylla",1.19080078086499,1.02581644701925,1.41356772185663,4.4691905974656,3.92652398338237,5.03750185134102,3.2852,-236.627791709451,0.940525885152931
"15","eute","Eucalyptus tereticornis",1.4265114071776,1.20162709452158,1.81390827391899,2.21708760251941,1.98295690942745,2.52648336400001,1.7148,-137.754276613417,0.946051207702748
"16","EUTE","Eucalyptus tereticornis",1.16521099822139,0.980009653107981,1.48655266127346,8.22518621332377,6.40126233860844,10,6.0054,-219.203306475882,0.871148263080667
"17","excu","Exocarpos cupressiformis",1.2010836858108,0.928991534261038,1.70997176735176,4.49390186699344,3.6299625171815,5.48130256717702,3.3121,-99.4882622651759,0.802963249285875
"18","EXCU","Exocarpos cupressiformis",1.63526604197087,1.44015348603546,1.94251567716279,4.03178583142047,3.65460190065091,4.35537078780646,3.2223,-189.281721044366,0.95306228236047
"19","hase","Hakea sericea",1.77330150950271,1.46338287632612,3.74273953200738,2.75281023911469,2.40938210138901,3.12897744605372,2.2388,-119.549236492855,0.918368416886524
"20","isan","Isopogon anemonifolius",1.21056939571206,0.835529649876217,1.76384046665371,3.61551465319874,2.85056417433375,5.18604890388533,2.6711,-86.6548704009545,0.816662076376901
"21","jasc","Jacksonia scoparia",1.13618004547959,0.964431365598439,1.35788474381722,3.3530319529556,2.94275282824036,3.88533109029088,2.4286,-142.741774723821,0.920831031659606
"22","JASC","Jacksonia scoparia",1.32019190262061,1.13462580570041,1.6291823220724,5.01323896518377,4.29799968309638,5.69285296672883,3.798,-213.350047922403,0.891994270902041
"23","leer","Leucopogon ericoides",1.59438604211072,1.09615255077877,2.86892470812088,4.25541608428122,3.50449711134589,5.70019044825315,3.3815,-78.2798982305636,0.758980926332986
"24","lepa","Leptospermum parvifolium",1.08264161802163,0.738067843642203,1.54066994887899,4.78324751336569,3.67093719630739,7.97189971056263,3.4096,-93.483715327811,0.778075515885149
"25","LEPA","Leptospermum parvifolium",1.14589382599681,0.851714214072479,1.70372721390041,6.39930939718466,4.39108290168211,10,4.6476,-103.341323031783,0.707047234924185
"26","mede","Melaleuca decora",1.04127401771179,0.857456691703848,1.28601983031444,4.15714669735775,3.4309479189731,5.17026342194522,2.9237,-126.252863692071,0.870970775270256
"27","MEDE","Melaleuca decora",1.45228003856859,1.26576370738235,1.71422182226896,4.62951455123286,4.09481783804407,5.19526157522456,3.597,-211.674400963103,0.917280045532952
"28","olst","Olax stricta",1.32867080470762,1.08681994921894,1.62546122613958,2.8581768200185,2.54152288305187,3.30896179378909,2.1692,-125.809970720727,0.926176004223499
"29","peli","Persoonia linearis",1.47696933842573,1.19017405347018,1.87663235691665,3.32771508137998,2.90930495588647,3.92055261103479,2.5965,-126.111333877307,0.903455839887902
"30","PELI","Persoonia linearis",1.28780546707079,0.894556680835408,1.75742745329857,5.03126955707782,4.26174411351983,6.90833220358018,3.7851,-139.809548268054,0.85859871272413
"31","penu","Persoonia nutans",1.05901348386569,0.765133529129167,1.48515973945734,3.17615966993085,2.47602736413174,4.65447742532424,2.247,-66.4973350242475,0.793876871607816
"32","pepu","Petrophile pulchella",1.40320483634134,0.995401791886616,1.96819817503284,3.73624292912248,3.23066447121549,4.72425082296154,2.8774,-105.523010122009,0.853943574376828
"33","PEPU","Petrophile pulchella",1.44604641070299,1.18761756956894,1.85624633095757,3.76177226194697,3.17558905509993,4.51932179957067,2.9196,-132.629095595032,0.888827659969883
"34","ripi","Ricinocarpos pinifolius",2.24884255303389,1.82816027248993,2.89647820139686,2.44969823408944,2.28967824489808,2.65418317171383,2.0813,-174.203464089958,0.968006710903645
