"","term","time13","time25","time37","time59","time7","source"
"Richness.1","(Intercept)","0.022 ","-0.033 ","0.062 ","0.073 ","-0.0096 ","Richness"
"Richness.2","sizesmall","-0.062 ","0.14 ","0.052 ","-0.2 *","0.00077 ","Richness"
"Richness.3","sizesmall:sub_rich","0.00049 ","-0.0011 *","-0.00077 ","0.0013 ","7.7e-06 ","Richness"
"Richness.4","sub_rich","-0.00015 ","0.00022 ","-0.00035 ","-0.00041 ","6.3e-05 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,"Richness"
"Richness.6","Fstat","0.69","1.83","1.69","1.40","0.08","Richness"
"Richness.7","numdf","3","3","3","3","3","Richness"
"Richness.8","dendf","50","48","47","50","51","Richness"
"Richness.9","r.squared","0.04","0.10","0.10","0.08","0.00","Richness"
"ShannonsH.1","(Intercept)","0.04 ","-0.089 ","-0.039 ","0.059 ","-0.0053 ","ShannonsH"
"ShannonsH.2","sizesmall","-0.16 ","0.41 *","0.044 ","-0.14 ","0.033 ","ShannonsH"
"ShannonsH.3","sizesmall:sub_rich","0.049 ","-0.12 *","-0.02 ","0.034 ","-0.0096 ","ShannonsH"
"ShannonsH.4","sub_rich","-0.012 ","0.026 ","0.014 ","-0.014 ","0.0015 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.6","Fstat","1.27","1.53","0.21","0.31","0.06","ShannonsH"
"ShannonsH.7","numdf","3","3","3","3","3","ShannonsH"
"ShannonsH.8","dendf","50","48","47","50","51","ShannonsH"
"ShannonsH.9","r.squared","0.07","0.09","0.01","0.02","0.00","ShannonsH"
"Sapro.rich.1","(Intercept)","-0.0066 ","-0.031 ","-0.043 ","0.097 ","-0.0017 ","Sapro.rich"
"Sapro.rich.2","sizesmall","-0.025 ","0.11 ","0.12 ","-0.086 ","0.015 ","Sapro.rich"
"Sapro.rich.3","sizesmall:sub_rich","0.0033 ","-0.015 ","-0.02 ","0.0082 ","-0.0019 ","Sapro.rich"
"Sapro.rich.4","sub_rich","0.00089 ","0.0042 ","0.007 ","-0.012 ","0.00023 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.6","Fstat","0.41","1.31","1.07","1.37","0.07","Sapro.rich"
"Sapro.rich.7","numdf","3","3","3","3","3","Sapro.rich"
"Sapro.rich.8","dendf","50","48","47","50","51","Sapro.rich"
"Sapro.rich.9","r.squared","0.02","0.08","0.06","0.08","0.00","Sapro.rich"
"Basidio.rich.1","(Intercept)","0.0011 ","-0.0074 ","0.026 ","0.041 ","-0.0049 ","Basidio.rich"
"Basidio.rich.2","sizesmall","-0.054 ","0.099 ","0.048 ","-0.16 ","0.0031 ","Basidio.rich"
"Basidio.rich.3","sizesmall:sub_rich","0.0043 ","-0.0072 *","-0.006 ","0.009 ","-0.00016 ","Basidio.rich"
"Basidio.rich.4","sub_rich","-6.7e-05 ","0.00042 ","-0.001 ","-0.0018 ","0.00028 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.6","Fstat","0.99","2.00","1.17","1.38","0.02","Basidio.rich"
"Basidio.rich.7","numdf","3","3","3","3","3","Basidio.rich"
"Basidio.rich.8","dendf","50","48","47","50","51","Basidio.rich"
"Basidio.rich.9","r.squared","0.06","0.11","0.07","0.08","0.00","Basidio.rich"
"Patho.rich.1","(Intercept)","0.017 ","-0.014 ","-0.028 ","0.074 ","0.0066 ","Patho.rich"
"Patho.rich.2","sizesmall","-0.033 ","0.073 ","0.14 ","-0.12 ","-0.035 ","Patho.rich"
"Patho.rich.3","sizesmall:sub_rich","0.0047 ","-0.011 ","-0.024 *","0.013 ","0.0049 ","Patho.rich"
"Patho.rich.4","sub_rich","-0.0022 ","0.0018 ","0.0049 ","-0.0085 ","-0.00089 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.6","Fstat","0.36","0.77","2.26","0.92","0.52","Patho.rich"
"Patho.rich.7","numdf","3","3","3","3","3","Patho.rich"
"Patho.rich.8","dendf","50","48","47","50","51","Patho.rich"
"Patho.rich.9","r.squared","0.02","0.05","0.13","0.05","0.03","Patho.rich"
"Oomy.rich.1","(Intercept)","0.003 ","-0.012 ","4.9e-05 ","0.011 ","0.0044 ","Oomy.rich"
"Oomy.rich.2","sizesmall","-0.00015 ","0.015 ","-0.013 ","-0.027 ","0.0065 ","Oomy.rich"
"Oomy.rich.3","sizesmall:sub_rich","-0.016 ","-0.1 ","-0.054 ","-0.015 ","-0.09 *","Oomy.rich"
"Oomy.rich.4","sub_rich","-0.013 ","0.076 *","0.036 ","-0.0035 ","-0.019 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.6","Fstat","0.42","2.33","0.66","0.22","4.41","Oomy.rich"
"Oomy.rich.7","numdf","3","3","3","3","3","Oomy.rich"
"Oomy.rich.8","dendf","50","48","47","50","51","Oomy.rich"
"Oomy.rich.9","r.squared","0.02","0.13","0.04","0.01","0.21","Oomy.rich"
