"","trim","stat","k","t50","ne.r2","alpha","beta","w.t50","w.r2","time7","time13","time25","time37","time59"
"1","yes","RMSE",0.05,0.31,0.05,0.25,0.85,0.25,0.06,0.05,0.07,0.1,0.13,0.15
"2","yes","R2",0.13,0.04,0.04,0.02,0,0.04,0,0.01,0.15,0.02,0.01,0
"3","yes","Avg.Bias",0,0.03,0,-0.02,0.04,0.01,0,0,0,0.01,0.01,0
"4","yes","Max.Bias",0.11,0.71,0.13,0.39,2.01,0.61,0.12,0.18,0.32,0.27,0.25,0.34
"5","yes","Skill",-101.4,-19.19,-13.82,-38.1,-37.71,-12.7,-40.82,-24.56,-71.67,-44.09,-29.42,-34.72
"6","yes","delta.RMSE",41.92,9.17,6.69,17.52,17.35,6.16,18.67,11.61,31.02,20.04,13.76,16.07
"7","yes","p",1,0.81,0.87,0.82,0.94,0.81,0.99,0.92,1,1,0.95,0.97
"8","no","RMSE",0.04,0.3,0.05,0.23,0.76,0.27,0.06,0.06,0.07,0.09,0.14,0.17
"9","no","R2",0.06,0,0,0.03,0.01,0.01,0,0,0.05,0.02,0,0.01
"10","no","Avg.Bias",0,0.03,0,-0.01,0.09,0.01,0,0,0,0,0,0
"11","no","Max.Bias",0.11,0.87,0.12,0.4,2.16,0.82,0.11,0.18,0.28,0.24,0.22,0.45
"12","no","Skill",-41.66,-15.75,-18.31,-19.77,-12.66,-31.92,-27.55,-37.5,-82.44,-18.88,-43.5,-82.38
"13","no","delta.RMSE",19.02,7.59,8.77,9.44,6.14,14.86,12.94,17.26,35.07,9.03,19.79,35.05
"14","no","p",0.99,0.9,0.91,0.87,0.8,0.93,0.98,0.99,1,0.94,0.98,0.99
