"","term","alpha","beta","k","ne.r2","t60","w.r2","w.t60","source"
"Richness.1","(Intercept)","1.1 **","5.1 **","0.24 *","0.83 ***","2.5 *","0.82 ***","2.6 **","Richness"
"Richness.2","mean","0.0027 ","-0.0017 ","-0.00038 ","0.00027 ","0.0035 ","0.00054 ","0.0031 ","Richness"
"Richness.3","sizesmall","-0.53 ","0.0049 ","-0.023 ","-0.0069 ","0.11 ","-0.024 ","-0.14 ","Richness"
"Richness.4","sizesmall:mean","0.0028 ","-0.0074 ","0.00071 ","-0.00012 ","-0.007 ","-9.7e-05 ","-0.0045 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","5.58","1.79","2.81","0.46","3.25","1.29","3.46","Richness"
"Richness.numdf","numdf","3","3","3","3","3","3","3","Richness"
"Richness.dendf","dendf","29","29","29","29","29","29","29","Richness"
"Richness.r.squared","r.squared","0.37","0.16","0.23","0.05","0.25","0.12","0.26","Richness"
"ShannonsH.1","(Intercept)","1.7 *","1.5 ","0.45 *","0.74 ***","-0.25 ","0.76 ***","0.51 ","ShannonsH"
"ShannonsH.2","mean","-0.062 ","0.96 ","-0.075 ","0.038 ","0.93 ","0.039 ","0.72 ","ShannonsH"
"ShannonsH.3","sizesmall","-1.6 ","5 ","-0.28 ","0.033 ","3.4 ","-0.04 ","2.3 ","ShannonsH"
"ShannonsH.4","sizesmall:mean","0.41 ","-1.7 ","0.1 ","-0.017 ","-1.2 ","-6.3e-05 ","-0.89 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","3.03","2.24","3.52","0.7","4.37","1.33","4.42","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","29","29","29","29","29","29","29","ShannonsH"
"ShannonsH.r.squared","r.squared","0.24","0.19","0.27","0.07","0.31","0.12","0.31","ShannonsH"
"Sapro.rich.1","(Intercept)","0.96 **","6.5 ***","0.14 ","0.86 ***","3.7 ***","0.84 ***","3.6 ***","Sapro.rich"
"Sapro.rich.2","mean","0.074 ","-0.23 ","0.0066 ","9e-04 ","-0.11 ","0.0069 ","-0.075 ","Sapro.rich"
"Sapro.rich.3","sizesmall","-0.17 ","-1.6 ","0.047 ","0.01 ","-0.97 ","0.0052 ","-0.91 ","Sapro.rich"
"Sapro.rich.4","sizesmall:mean","-0.018 ","0.12 ","0.0011 ","-0.0038 ","0.04 ","-0.0063 ","0.035 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.Fstat","Fstat","4.3","2.27","3.37","0.46","3.89","0.83","3.85","Sapro.rich"
"Sapro.rich.numdf","numdf","3","3","3","3","3","3","3","Sapro.rich"
