"","term","alpha","beta","k","ne.r2","t60","w.r2","w.t60","source"
"Richness.1","(Intercept)","-0.25 ","1.2 ","-0.016 ","-0.031 ","0.26 ","-0.047 ","0.058 ","Richness"
"Richness.2","mean","0.0018 ","-0.0088 ","0.00011 ","0.00029 ","-0.0019 ","0.00033 ","-0.00041 ","Richness"
"Richness.3","sizesmall","-0.078 ","-0.83 ","0.0027 ","-0.0038 ","0.022 ","0.027 ","-0.019 ","Richness"
"Richness.4","sizesmall:mean","0.00061 ","0.0059 ","-1.7e-05 ","-7.3e-05 ","-2e-04 ","-0.00019 ","0.00013 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","1.5","0.71","0.1","0.54","0.63","0.23","0.02","Richness"
"Richness.numdf","numdf","3","3","3","3","3","3","3","Richness"
"Richness.dendf","dendf","29","29","29","29","29","29","29","Richness"
"Richness.r.squared","r.squared","0.13","0.07","0.01","0.05","0.06","0.02","0","Richness"
"ShannonsH.1","(Intercept)","0.44 ","1.5 ","-0.04 ","-0.19 ","0.35 ","-0.089 ","0.34 ","ShannonsH"
"ShannonsH.2","mean","-0.13 ","-0.43 ","0.012 ","0.058 ","-0.1 ","0.026 ","-0.099 ","ShannonsH"
"ShannonsH.3","sizesmall","-0.93 ","-1.4 ","0.071 ","0.12 ","-0.35 ","0.045 ","-0.7 ","ShannonsH"
"ShannonsH.4","sizesmall:mean","0.27 ","0.41 ","-0.02 ","-0.041 ","0.1 ","-0.013 ","0.2 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","0.82","0.19","0.14","1.33","0.07","0.23","0.36","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","29","29","29","29","29","29","29","ShannonsH"
"ShannonsH.r.squared","r.squared","0.08","0.02","0.01","0.12","0.01","0.02","0.04","ShannonsH"
"Sapro.rich.1","(Intercept)","-0.27 ","2.1 **","-0.06 ","-0.0023 ","0.73 *","-0.018 ","0.49 ","Sapro.rich"
"Sapro.rich.2","mean","0.038 ","-0.29 **","0.0082 ","0.0016 ","-0.1 *","0.0024 ","-0.068 ","Sapro.rich"
