"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.07,0.1,0.13,0.18,0.2,"yes"
"R2","R2",0.04,0,0.1,0.18,0.02,"yes"
"Avg.Bias","Avg.Bias",0,0,0.02,0.03,0.01,"yes"
"Max.Bias","Max.Bias",0.19,0.42,0.23,0.29,0.54,"yes"
"Skill","Skill",-23.1,-31.93,-2.71,10.55,-17.41,"yes"
"delta.RMSE","delta.RMSE",10.95,14.86,1.35,-5.42,8.36,"yes"
"p","p",0.89,0.97,0.56,0.29,0.86,"yes"
"RMSE1","RMSE",0.07,0.09,0.13,0.16,0.23,"no"
"R21","R2",0.05,0.02,0.14,0.27,0,"no"
"Avg.Bias1","Avg.Bias",0,-0.01,0,0,0,"no"
"Max.Bias1","Max.Bias",0.18,0.4,0.25,0.32,0.57,"no"
"Skill1","Skill",-7.35,-27.72,4.41,24.42,-54.75,"no"
"delta.RMSE1","delta.RMSE",3.61,13.02,-2.23,-13.06,24.4,"no"
"p1","p",0.77,0.94,0.4,0.05,0.96,"no"
