"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.05,0.07,0.1,0.13,0.15,"yes"
"R2","R2",0.01,0.15,0.02,0.01,0,"yes"
"Avg.Bias","Avg.Bias",0,0,0.01,0.01,0,"yes"
"Max.Bias","Max.Bias",0.18,0.32,0.27,0.25,0.34,"yes"
"Skill","Skill",-24.56,-71.67,-44.09,-29.42,-34.72,"yes"
"delta.RMSE","delta.RMSE",11.61,31.02,20.04,13.76,16.07,"yes"
"p","p",0.94,1,1,0.94,0.97,"yes"
"RMSE1","RMSE",0.06,0.07,0.09,0.14,0.17,"no"
"R21","R2",0,0.05,0.02,0,0.01,"no"
"Avg.Bias1","Avg.Bias",0,0,0,0,0,"no"
"Max.Bias1","Max.Bias",0.18,0.28,0.24,0.22,0.45,"no"
"Skill1","Skill",-37.5,-82.44,-18.88,-43.5,-82.38,"no"
"delta.RMSE1","delta.RMSE",17.26,35.07,9.03,19.79,35.05,"no"
"p1","p",0.98,1,0.93,0.97,0.99,"no"
