"","part","term","resp","Estimate","Std..Error","df","sumsq","statistic","p.value","etasq"
"1","C1","size","w.t50",0.710858295440298,0.269224171002896,1,2.269,6.972,0.015,0.083
"2","C1","waterperc_s","w.t50",-0.412441874260194,0.178561597936669,1,1.736,5.335,0.03,0.064
"3","C1","density_s","w.t50",0.211333643043475,0.172062456216413,1,0.491,1.509,0.232,0.018
"4","C1","barkthick_s","w.t50",0.262303965416138,0.174908395939068,1,0.732,2.249,0.147,0.027
"5","C1","C_s","w.t50",0.3836564723394,0.148087930930734,1,2.184,6.712,0.016,0.08
"6","C1","N_s","w.t50",-0.39063706151517,0.145623374352513,1,2.342,7.196,0.013,0.086
"7","C1","P_s","w.t50",-0.0146851328787386,0.10791151943533,1,0.006,0.019,0.893,0
"8","C1","Ca_s","w.t50",0.573245542577568,0.129057557317929,1,6.42,19.729,0,0.236
"9","C1","Mn_s","w.t50",-0.197079346366107,0.111672538741312,1,1.013,3.115,0.091,0.037
"10","C1","Zn_s","w.t50",-0.313238577142291,0.112533568180848,1,2.521,7.748,0.011,0.093
"11","C1","size","beta",0.598272477598086,0.432478181417774,1,1.607,1.914,0.18,0.027
"12","C1","waterperc_s","beta",-0.486065151823349,0.286839011738927,1,2.411,2.872,0.104,0.041
"13","C1","density_s","beta",0.368177312513069,0.276398875619341,1,1.49,1.774,0.196,0.025
"14","C1","barkthick_s","beta",0.466900370960555,0.280970555907531,1,2.319,2.761,0.11,0.04
"15","C1","C_s","beta",0.584129807699536,0.237886512270682,1,5.063,6.029,0.022,0.086
"16","C1","N_s","beta",-0.636684374985605,0.233927480869528,1,6.22,7.408,0.012,0.106
"17","C1","P_s","beta",-0.0248748846639977,0.173347651162118,1,0.017,0.021,0.887,0
"18","C1","Ca_s","beta",0.798846880720896,0.207316369400122,1,12.467,14.848,0.001,0.213
"19","C1","Mn_s","beta",-0.288856654232625,0.179389303305271,1,2.177,2.593,0.121,0.037
"20","C1","Zn_s","beta",-0.464691626394325,0.180772449717313,1,5.549,6.608,0.017,0.095
"21","C1","density_s","alpha",-0.116205201135534,0.0509375300153811,1,0.34,5.204,0.031,0.118
"22","C1","barkthick_s","alpha",-0.042862216359931,0.0577900995808794,1,0.036,0.55,0.465,0.013
"23","C1","C_s","alpha",-0.136963591348717,0.0637647104269887,1,0.302,4.614,0.041,0.105
"24","C1","P_s","alpha",-0.0757170081553147,0.0467182266075235,1,0.172,2.627,0.117,0.06
"25","C1","Ca_s","alpha",0.0183910129544064,0.0512316031754865,1,0.008,0.129,0.722,0.003
"26","C1","Fe_s","alpha",-0.0999355436928744,0.0510295924194343,1,0.251,3.835,0.061,0.087
"27","C1","waterperc_s","w.r2",0.0149507735036182,0.0154623479108768,1,0.003,0.935,0.342,0.019
"28","C1","density_s","w.r2",-0.0214880326701733,0.014031557542148,1,0.008,2.345,0.137,0.047
"29","C1","C_s","w.r2",-0.0364750563967959,0.011771604076175,1,0.033,9.601,0.004,0.193
"30","C1","N_s","w.r2",0.0276366142832225,0.0107740679553357,1,0.022,6.58,0.016,0.132
"31","C1","Fe_s","w.r2",-0.0196694866972152,0.012904075444301,1,0.008,2.323,0.139,0.047
"32","S1","size","time7",0.0432066188100867,0.0151975533828288,1,0.022,8.083,0.006,0.071
"33","S1","waterperc_s","time7",-0.0121981252414876,0.00943355201983264,1,0.005,1.672,0.2,0.015
"34","S1","density_s","time7",0.016254088354934,0.00832534644848434,1,0.011,3.812,0.054,0.034
"35","S1","N_s","time7",-0.0160272159092011,0.00595788991461042,1,0.02,7.237,0.009,0.064
"36","S1","P_s","time7",-0.0080275830378374,0.00624316436830754,1,0.005,1.653,0.202,0.015
"37","S1","Ca_s","time7",0.0208293173054562,0.00628998122819796,1,0.03,10.966,0.001,0.096
"38","S1","Fe_s","time7",-0.00982663543355879,0.00879057419587179,1,0.003,1.25,0.267,0.011
"39","S1","size","time13",0.0958255288642027,0.0195696379077079,1,0.093,23.977,0,0.169
"40","S1","waterperc_s","time13",-0.0466574534401379,0.00943870597188782,1,0.095,24.435,0,0.172
"41","S1","C_s","time13",0.0117827255026038,0.00812683331196191,1,0.008,2.102,0.152,0.015
"42","S1","N_s","time13",-0.0151960003470051,0.00822522967273381,1,0.013,3.413,0.069,0.024
"43","S1","P_s","time13",0.00820203679598681,0.00811022886269405,1,0.004,1.023,0.315,0.007
"44","S1","Ca_s","time13",0.0218745928104672,0.0075508967122652,1,0.032,8.392,0.005,0.059
"45","S1","Fe_s","time13",-0.0253921488607504,0.0111649239777317,1,0.02,5.172,0.026,0.036
"46","S1","Mn_s","time13",-0.00717059955121388,0.0101531124675502,1,0.002,0.499,0.482,0.004
"47","S1","Zn_s","time13",-0.00996623632793548,0.0067467083601028,1,0.008,2.182,0.144,0.015
"48","S1","size","time25",0.0844733164680305,0.036425593429227,1,0.076,5.378,0.023,0.05
