"","code","species","size","waterperc","density","barkthick","elements","Cfractions","n.stems","stem.ids","n.elements","composite","Binomial"
"1","ACPA","acpa","large",17,NA,NA,3,3,3,"ACPA1_ACPA3_ACPA4",3,"no","Acacia parramattensis"
"2","ALLI","alli","large",16,NA,NA,3,3,3,"ALLI1_ALLI2_ALLI3",3,"no","Allocasuarina littoralis"
"3","ANBA","anba","large",17,NA,NA,3,3,3,"ANBA1_ANBA2_ANBA3",3,"no","Angophora bakeri"
"4","BAAE","baae","large",15,NA,NA,3,3,3,"BAAE1_BAAE2_BAAE3",3,"no","Banksia aemula"
"5","EUSC","eusc","large",20,NA,NA,3,3,3,"EUSC1_EUSC2_EUSC3",3,"no","Eucalyptus sclerophylla"
"6","EUTE","eute","large",12,NA,NA,3,3,3,"EUTE1_EUTE2_EUTE3",3,"no","Eucalyptus tereticornis"
"7","EXCU","excu","large",4,NA,NA,3,3,3,"EXCU1_EXCU2_EXCU3",3,"no","Exocarpos cupressiformis"
"8","JASC","jasc","large",23,NA,NA,3,3,3,"JASC1_JASC2_JASC3",3,"no","Jacksonia scoparia"
"9","LEPA","lepa","large",8,NA,NA,4,3,4,"LEPA1_LEPA2_LEPA3_LEPA4",4,"no","Leptospermum parvifolium"
"10","MEDE","mede","large",18,NA,NA,3,3,3,"MEDE1_MEDE2_MEDE3",3,"no","Melaleuca decora"
"11","PELI","peli","large",6,NA,NA,3,3,3,"PELI1_PELI2_PELI3",3,"no","Persoonia linearis"
"12","PEPU","pepu","large",8,NA,NA,3,3,3,"PEPU1_PEPU2_PEPU3",3,"no","Petrophile pulchella"
"13","acel","acel","small",3,3,3,2,NA,2,"acel1_acel5",0,"yes","Acacia elongata"
"14","acpa","acpa","small",3,3,3,4,NA,4,"acpa1_acpa2_acpa3_acpa4",4,"no","Acacia parramattensis"
"15","alli","alli","small",3,3,3,3,NA,3,"alli1_alli2_alli3",3,"no","Allocasuarina littoralis"
"16","anba","anba","small",3,3,3,2,NA,3,"anba1_anba2_anba3",2,"no","Angophora bakeri"
"17","baae","baae","small",3,3,3,3,NA,3,"baae1_baae2_baae3",3,"no","Banksia aemula"
"18","basp","basp","small",3,3,3,1,NA,3,"basp1_basp2_basp3",0,"yes","Banksia spinulosa"
"19","cali","cali","small",3,3,3,1,NA,2,"cali1_cali2",0,"yes","Callistemon linearis"
"20","cota","cota","small",3,3,3,1,NA,2,"cota1_cota4",0,"yes","Conospermum taxifolium"
"21","eusc","eusc","small",3,3,3,NA,NA,2,"eusc1_eusc3",0,NA,"Eucalyptus sclerophylla"
"22","eute","eute","small",3,3,3,3,NA,3,"eute1_eute2_eute3",3,"no","Eucalyptus tereticornis"
"23","excu","excu","small",3,3,3,3,NA,3,"excu1_excu2_excu3",3,"no","Exocarpos cupressiformis"
"24","hase","hase","small",3,3,3,2,NA,3,"hase1_hase2_hase3",0,"yes","Hakea sericea"
"25","isan","isan","small",3,3,3,1,NA,3,"isan1_isan4_isan5",0,"yes","Isopogon anemonifolius"
"26","jasc","jasc","small",3,3,3,3,NA,3,"jasc1_jasc2_jasc3",3,"no","Jacksonia scoparia"
"27","leer","leer","small",3,3,3,1,NA,3,"leer1_leer3_leer9",0,"yes","Leucopogon ericoides"
"28","lepa","lepa","small",3,3,3,3,NA,4,"lepa1_lepa2_lepa3_lepa4",3,"no","Leptospermum parvifolium"
"29","mede","mede","small",3,3,3,3,NA,3,"mede1_mede2_mede3",3,"no","Melaleuca decora"
"30","olst","olst","small",3,3,3,1,NA,3,"olst1_olst3_olst4",0,"yes","Olax stricta"
"31","peli","peli","small",3,3,3,3,NA,3,"peli1_peli2_peli3",3,"no","Persoonia linearis"
"32","penu","penu","small",3,3,3,1,NA,3,"penu2_penu3_penu4",0,"yes","Persoonia nutans"
"33","pepu","pepu","small",3,3,3,3,NA,3,"pepu1_pepu2_pepu3",3,"no","Petrophile pulchella"
"34","ripi","ripi","small",3,3,3,1,NA,1,"ripi1",0,"yes","Ricinocarpos pinifolius"
