"","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.signif","comp1.r2","slice"
"1","all","alpha",3297,33,0.861,FALSE,0.000206983399810352,"C1"
"2","all","beta",3297,33,0.66,FALSE,0.0160385971564038,"C1"
"3","all","w.r2",3297,33,0.837,FALSE,0.010608448458891,"C1"
"4","all","w.t50",3297,33,0.644,FALSE,0.0274078032855977,"C1"
"5","basid","alpha",526,33,0.965,FALSE,0.0142125966302177,"C1"
"6","basid","beta",526,33,0.47,FALSE,0.0392209277065763,"C1"
"7","basid","w.r2",526,33,0.985,FALSE,0.00381598199989757,"C1"
"8","basid","w.t50",526,33,0.235,FALSE,0.0904498710938308,"C1"
"9","oo","alpha",9,9,0.371,FALSE,0.174780482948308,"C1"
"10","oo","beta",9,9,0.235,FALSE,0.323504163965183,"C1"
"11","oo","w.r2",9,9,0.63,FALSE,0.072978680563961,"C1"
"12","oo","w.t50",9,9,0.262,FALSE,0.344551508166755,"C1"
"13","patho","alpha",129,33,0.988,FALSE,0.0257026630437184,"C1"
"14","patho","beta",129,33,0.494,FALSE,0.0647122736309216,"C1"
"15","patho","w.r2",129,33,0.939,FALSE,0.00122083422673936,"C1"
"16","patho","w.t50",129,33,0.535,FALSE,0.0759716845035073,"C1"
"17","sapro","alpha",176,33,0.989,FALSE,0.00314523414932543,"C1"
"18","sapro","beta",176,33,0.868,FALSE,0.000209082885914635,"C1"
"19","sapro","w.r2",176,33,0.649,FALSE,0.0454576480598679,"C1"
"20","sapro","w.t50",176,33,0.731,FALSE,0.0168966124295423,"C1"
