"","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.signif","comp1.r2","slice"
"1","all","time13",2535,63,0.928,FALSE,0.0241567121119897,"S1"
"2","all","time25",2572,63,0.31,FALSE,0.154678687141048,"S1"
"3","all","time37",2514,61,0.052,FALSE,0.284192358728343,"S1"
"4","all","time59",2606,65,0.958,FALSE,0.00259315062490657,"S1"
"5","all","time7",2619,65,0.72,FALSE,0.0616457151084264,"S1"
"6","basid","time13",374,62,0.996,FALSE,0.000363754984790802,"S1"
"7","basid","time25",388,62,0.336,FALSE,0.118201742106243,"S1"
"8","basid","time37",368,60,0.247,FALSE,0.135868231223862,"S1"
"9","basid","time59",393,64,0.995,FALSE,0.00515771988422235,"S1"
"10","basid","time7",396,64,0.988,FALSE,0.00231049162616935,"S1"
"11","oo","time13",6,6,0.75,FALSE,0.025760428937883,"S1"
"12","oo","time25",6,6,1,FALSE,1,"S1"
"13","oo","time37",7,7,0.75,FALSE,0.161784809450256,"S1"
"14","oo","time59",7,7,0.067,FALSE,0.893710322444816,"S1"
"15","oo","time7",6,6,1,FALSE,0.877713147452414,"S1"
"16","patho","time13",91,63,0.973,FALSE,0.000817410617338384,"S1"
"17","patho","time25",88,63,0.783,FALSE,0.0612042189793256,"S1"
"18","patho","time37",89,61,0.458,FALSE,0.156076505589296,"S1"
"19","patho","time59",93,65,0.661,FALSE,0.0741795832846857,"S1"
"20","patho","time7",92,65,1,FALSE,0.0490479393044737,"S1"
"21","sapro","time13",125,63,0.631,FALSE,0.047896044762003,"S1"
"22","sapro","time25",127,63,0.875,FALSE,0.045354674076255,"S1"
"23","sapro","time37",123,61,0.81,FALSE,0.0712776644540007,"S1"
"24","sapro","time59",129,65,0.986,FALSE,0.0144717642136986,"S1"
"25","sapro","time7",131,65,0.945,FALSE,0.00544543377703125,"S1"
