"","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.signif","comp1.r2","slice"
"1","all","time13",2535,63,1,FALSE,0.0344077116120038,"S1_resid"
"2","all","time25",2572,63,0.987,FALSE,0.00279393739685019,"S1_resid"
"3","all","time37",2514,61,0.965,FALSE,0.0028184207880125,"S1_resid"
"4","all","time59",2606,65,0.989,FALSE,0.00150047740997629,"S1_resid"
"5","all","time7",2619,65,0.874,FALSE,0.0375525195678782,"S1_resid"
"6","basid","time13",374,62,1,FALSE,0.061657981028006,"S1_resid"
"7","basid","time25",388,62,0.568,FALSE,0.0737954080521044,"S1_resid"
"8","basid","time37",368,60,0.816,FALSE,0.0541418369591139,"S1_resid"
"9","basid","time59",393,64,0.999,FALSE,0.0215791443870057,"S1_resid"
"10","basid","time7",396,64,0.992,FALSE,0.0416014182282392,"S1_resid"
"11","oo","time13",6,6,0.923,FALSE,0.0696511233582468,"S1_resid"
"12","oo","time25",6,6,0.735,FALSE,1,"S1_resid"
"13","oo","time37",7,7,0.197,FALSE,0.00530207807555558,"S1_resid"
"14","oo","time59",7,7,0.308,FALSE,0.423461435069269,"S1_resid"
"15","oo","time7",6,6,1,FALSE,0.945508002104979,"S1_resid"
"16","patho","time13",91,63,0.821,FALSE,0.000706387965180136,"S1_resid"
"17","patho","time25",88,63,0.999,FALSE,0.000131926305125793,"S1_resid"
"18","patho","time37",89,61,1,FALSE,0.0390383944327062,"S1_resid"
"19","patho","time59",93,65,0.995,FALSE,0.000482185613813782,"S1_resid"
"20","patho","time7",92,65,0.983,FALSE,0.00180141755085624,"S1_resid"
"21","sapro","time13",125,63,1,FALSE,0.0182303782678984,"S1_resid"
"22","sapro","time25",127,63,0.987,FALSE,0.00206083541149867,"S1_resid"
"23","sapro","time37",123,61,0.922,FALSE,0.0266770393041643,"S1_resid"
"24","sapro","time59",129,65,1,FALSE,0.0884093679798732,"S1_resid"
"25","sapro","time7",131,65,0.806,FALSE,0.0204360045894122,"S1_resid"
