"","stat","w.t50","beta","alpha","w.r2","trim"
"RMSE","RMSE",1.1,1.62,0.33,0.07,"yes"
"R2","R2",0,0,0,0.09,"yes"
"Avg.Bias","Avg.Bias",0.11,0.16,0,-0.01,"yes"
"Max.Bias","Max.Bias",2.3,4.21,0.89,0.22,"yes"
"Skill","Skill",-29.09,-35.58,-17.7,-3.7,"yes"
"delta.RMSE","delta.RMSE",13.62,16.44,8.49,1.83,"yes"
"p","p",0.91,0.93,0.9,0.54,"yes"
"RMSE1","RMSE",1.02,1.53,0.36,0.08,"no"
"R21","R2",0.02,0,0,0.05,"no"
"Avg.Bias1","Avg.Bias",0.01,0.03,-0.04,0,"no"
"Max.Bias1","Max.Bias",2.22,4.09,0.9,0.19,"no"
"Skill1","Skill",-11.17,-20.92,-35.84,-15.51,"no"
"delta.RMSE1","delta.RMSE",5.44,9.96,16.55,7.48,"no"
"p1","p",0.74,0.85,0.99,0.66,"no"
