"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.07,0.1,0.13,0.18,0.2,"yes"
"R2","R2",0.03,0,0.12,0.17,0.02,"yes"
"Avg.Bias","Avg.Bias",0,0,0.02,0.03,0.01,"yes"
"Max.Bias","Max.Bias",0.19,0.42,0.23,0.3,0.54,"yes"
"Skill","Skill",-31.34,-31.06,-0.63,9.46,-16.16,"yes"
"delta.RMSE","delta.RMSE",14.6,14.48,0.32,-4.85,7.78,"yes"
"p","p",0.93,0.97,0.53,0.29,0.82,"yes"
"RMSE1","RMSE",0.07,0.09,0.12,0.16,0.22,"no"
"R21","R2",0.06,0.02,0.15,0.28,0,"no"
"Avg.Bias1","Avg.Bias",0,-0.01,0,0,0,"no"
"Max.Bias1","Max.Bias",0.18,0.4,0.24,0.31,0.57,"no"
"Skill1","Skill",-5.64,-26.19,7.25,25.56,-53.24,"no"
"delta.RMSE1","delta.RMSE",2.78,12.34,-3.69,-13.72,23.79,"no"
"p1","p",0.7,0.92,0.32,0.03,0.95,"no"
