"","stat","w.t50","beta","alpha","w.r2","trim"
"RMSE","RMSE",0.99,1.92,0.39,0.05,"yes"
"R2","R2",0.03,0.13,0.02,0.01,"yes"
"Avg.Bias","Avg.Bias",0.07,0.31,-0.05,-0.01,"yes"
"Max.Bias","Max.Bias",1.67,4.13,0.51,0.09,"yes"
"Skill","Skill",-108.77,-195.51,-140.03,-37.16,"yes"
"delta.RMSE","delta.RMSE",44.49,71.91,54.93,17.11,"yes"
"p","p",0.93,0.99,0.94,0.75,"yes"
"RMSE1","RMSE",0.76,1.47,0.38,0.06,"no"
"R21","R2",0,0.21,0.35,0.33,"no"
"Avg.Bias1","Avg.Bias",0.11,0.16,-0.02,0,"no"
"Max.Bias1","Max.Bias",1.21,2.4,0.83,0.11,"no"
"Skill1","Skill",-23.77,-73.64,-137.4,-92.8,"no"
"delta.RMSE1","delta.RMSE",11.25,31.77,54.08,38.85,"no"
"p1","p",0.72,1,1,0.96,"no"
