"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.04,0.05,0.1,0.18,0.15,"yes"
"R2","R2",0.08,0,0,0.02,0.1,"yes"
"Avg.Bias","Avg.Bias",0,0.01,0,-0.01,-0.02,"yes"
"Max.Bias","Max.Bias",0.14,0.11,0.18,0.3,0.31,"yes"
"Skill","Skill",6.69,-21.7,-30.19,-61.24,-6.57,"yes"
"delta.RMSE","delta.RMSE",-3.4,10.32,14.1,26.98,3.23,"yes"
"p","p",0.26,0.95,0.85,1,0.63,"yes"
"RMSE1","RMSE",0.05,0.06,0.11,0.2,0.13,"no"
"R21","R2",0.07,0.1,0.01,0.04,0.32,"no"
"Avg.Bias1","Avg.Bias",0,0,-0.01,-0.01,0.01,"no"
"Max.Bias1","Max.Bias",0.09,0.13,0.18,0.32,0.17,"no"
"Skill1","Skill",-9.27,-98.26,-56.31,-88.12,30.33,"no"
"delta.RMSE1","delta.RMSE",4.53,40.8,25.02,37.16,-16.53,"no"
"p1","p",0.62,1,0.99,1,0.06,"no"
