"","stat","w.t50","alpha","beta","w.r2","trim"
"RMSE","RMSE",0.54,0.25,0.86,0.06,"yes"
"R2","R2",0.01,0.02,0,0,"yes"
"Avg.Bias","Avg.Bias",0.02,-0.02,0.04,0,"yes"
"Max.Bias","Max.Bias",1.25,0.39,2.01,0.12,"yes"
"Skill","Skill",-31.19,-38.76,-39.08,-40.86,"yes"
"delta.RMSE","delta.RMSE",14.54,17.8,17.93,18.69,"yes"
"p","p",0.92,0.79,0.94,1,"yes"
"RMSE1","RMSE",0.51,0.24,0.78,0.06,"no"
"R21","R2",0,0.03,0,0,"no"
"Avg.Bias1","Avg.Bias",0.06,-0.01,0.1,0,"no"
"Max.Bias1","Max.Bias",1.41,0.4,2.16,0.11,"no"
"Skill1","Skill",-18.33,-20.67,-13.45,-28,"no"
"delta.RMSE1","delta.RMSE",8.78,9.85,6.51,13.14,"no"
"p1","p",0.95,0.87,0.83,0.98,"no"
