"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.06,0.07,0.1,0.13,0.15,"yes"
"R2","R2",0,0.19,0.01,0.01,0,"yes"
"Avg.Bias","Avg.Bias",0,0,0.01,0.01,0,"yes"
"Max.Bias","Max.Bias",0.18,0.32,0.28,0.26,0.34,"yes"
"Skill","Skill",-38.23,-80.01,-42.18,-28.3,-42.91,"yes"
"delta.RMSE","delta.RMSE",17.57,34.17,19.24,13.27,19.54,"yes"
"p","p",0.98,1,1,0.92,0.99,"yes"
"RMSE1","RMSE",0.06,0.07,0.09,0.14,0.17,"no"
"R21","R2",0,0.04,0.02,0,0.01,"no"
"Avg.Bias1","Avg.Bias",0,0,0,0,0,"no"
"Max.Bias1","Max.Bias",0.18,0.28,0.24,0.23,0.46,"no"
"Skill1","Skill",-40.42,-80.54,-17.72,-43.8,-88.12,"no"
"delta.RMSE1","delta.RMSE",18.5,34.37,8.5,19.92,37.16,"no"
"p1","p",0.99,1,0.91,0.97,0.99,"no"
