"","stat","time7","time13","time25","time37","time59","trim"
"RMSE","RMSE",0.06,0.06,0.11,0.14,0.15,"yes"
"R2","R2",0.01,0.01,0,0.02,0,"yes"
"Avg.Bias","Avg.Bias",0,0,0.02,0.01,0.01,"yes"
"Max.Bias","Max.Bias",0.21,0.24,0.21,0.38,0.34,"yes"
"Skill","Skill",-36.84,-28.71,-50.47,-38.08,-33.89,"yes"
"delta.RMSE","delta.RMSE",16.98,13.45,22.66,17.51,15.71,"yes"
"p","p",0.98,1,0.97,0.97,0.96,"yes"
"RMSE1","RMSE",0.06,0.07,0.09,0.13,0.17,"no"
"R21","R2",0.07,0.01,0.05,0.02,0.09,"no"
"Avg.Bias1","Avg.Bias",0,0.01,0.01,0,0.02,"no"
"Max.Bias1","Max.Bias",0.22,0.24,0.2,0.34,0.44,"no"
"Skill1","Skill",-49.23,-46.83,-7.52,-28.38,-83.03,"no"
"delta.RMSE1","delta.RMSE",22.16,21.17,3.69,13.31,35.29,"no"
"p1","p",1,1,0.68,0.92,1,"no"
