"","quant","kingdom","phylum","species","Trophic.Mode","Guild"
"1","bottom 1%","Fungi","Ascomycota","Neosetophoma_samararum","Saprotroph","Undefined Saprotroph"
"2","bottom 1%","Fungi","Basidiomycota","Pisolithus_croceorrhizus","Symbiotroph","Ectomycorrhizal"
"3","bottom 1%","Fungi","Ascomycota","Neotrimmatostroma_paraexcentricum","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph"
"4","bottom 1%","Fungi","Ascomycota","Phaeoacremonium_sp3","unclassified","unclassified"
"5","bottom 1%","Fungi","Ascomycota","Strigula_nitidula","Symbiotroph","Lichenized"
"6","bottom 1%","Fungi","Ascomycota","Acremonium_sp","unclassified","unclassified"
"7","bottom 1%","Fungi","Ascomycota","Celerioriella_prunicola","unclassified","unclassified"
"8","top 1%","Fungi","Ascomycota","Debaryomyces_hansenii","unclassified","unclassified"
"9","top 1%","Fungi","Basidiomycota","Naganishia_sp3","unclassified","unclassified"
"10","top 1%","Fungi","Ascomycota","Marcelaria_cumingii","unclassified","unclassified"
"11","top 1%","Fungi","Basidiomycota","Septobasidium_burtii","unclassified","unclassified"
