"","y_mod","x_mod","pval","response","meas"
"time7.1","M1","M2",0.725672017406348,"time7","C"
"time7.2","M2","M1",0.768903307493474,"time7","C"
"time13.1","M1","M2",0.434397645185998,"time13","C"
"time13.2","M2","M1",0.824585849510547,"time13","C"
"time25.1","M1","M2",0.623975592306191,"time25","C"
"time25.2","M2","M1",3.30275596906025e-09,"time25","C"
"time37.1","M1","M2",0.255853099523789,"time37","C"
"time37.2","M2","M1",0.856821834683378,"time37","C"
"time59.1","M1","M2",0.996924280037581,"time59","C"
"time59.2","M2","M1",0.157096081663767,"time59","C"
"time7.11","M1","M2",0.632849212073037,"time7","N"
"time7.21","M2","M1",0.539831559353024,"time7","N"
"time13.11","M1","M2",0.0293789388644888,"time13","N"
"time13.21","M2","M1",0.466585529529307,"time13","N"
"time25.11","M1","M2",0.251421651445063,"time25","N"
"time25.21","M2","M1",0.632764117055892,"time25","N"
"time37.11","M1","M2",0.560286666316609,"time37","N"
"time37.21","M2","M1",0.101543926893837,"time37","N"
"time59.11","M1","M2",0.450183051745251,"time59","N"
"time59.21","M2","M1",0.751075211206809,"time59","N"
"time7.12","M1","M2",0.143551700738854,"time7","P"
"time7.22","M2","M1",0.552049538368305,"time7","P"
"time13.12","M1","M2",0.00180320785932654,"time13","P"
"time13.22","M2","M1",0.686566591815523,"time13","P"
"time25.12","M1","M2",0.684258437626993,"time25","P"
"time25.22","M2","M1",0.391775364383506,"time25","P"
"time37.12","M1","M2",4.99367516674406e-06,"time37","P"
"time37.22","M2","M1",0.605726458998234,"time37","P"
"time59.12","M1","M2",1.45245932001128e-07,"time59","P"
"time59.22","M2","M1",0.535385722343516,"time59","P"
"time7.13","M1","M2",0.661388240997756,"time7","K"
"time7.23","M2","M1",0.00575869885265859,"time7","K"
"time13.13","M1","M2",0.508486325488005,"time13","K"
"time13.23","M2","M1",0.972765354268389,"time13","K"
"time25.13","M1","M2",0.00325220612998117,"time25","K"
"time25.23","M2","M1",0.310237995239012,"time25","K"
"time37.13","M1","M2",0.044025426818079,"time37","K"
"time37.23","M2","M1",0.498086261504145,"time37","K"
"time59.13","M1","M2",0.395564695041548,"time59","K"
"time59.23","M2","M1",0.777602691541859,"time59","K"
"time7.14","M1","M2",0.487973135453615,"time7","Ca"
"time7.24","M2","M1",0.0760429316667802,"time7","Ca"
"time13.14","M1","M2",0.545048796833402,"time13","Ca"
"time13.24","M2","M1",0.818155469159881,"time13","Ca"
"time25.14","M1","M2",0.932237938316786,"time25","Ca"
"time25.24","M2","M1",0.795774134633829,"time25","Ca"
"time37.14","M1","M2",2.01069301680604e-07,"time37","Ca"
"time37.24","M2","M1",0.557890726944627,"time37","Ca"
"time59.14","M1","M2",0.82140467566195,"time59","Ca"
"time59.24","M2","M1",0.540214272938585,"time59","Ca"
"time7.15","M1","M2",0.0978026575684797,"time7","Fe"
"time7.25","M2","M1",0.838101957427137,"time7","Fe"
"time13.15","M1","M2",0.210714629366424,"time13","Fe"
"time13.25","M2","M1",0.088066931161395,"time13","Fe"
"time25.15","M1","M2",0.858303019008906,"time25","Fe"
"time25.25","M2","M1",0.122731303773222,"time25","Fe"
"time37.15","M1","M2",0.957844507131871,"time37","Fe"
"time37.25","M2","M1",0.0693383846653917,"time37","Fe"
"time59.15","M1","M2",0.926337721534344,"time59","Fe"
"time59.25","M2","M1",0.242047925343479,"time59","Fe"
"time7.16","M1","M2",0.00330427387843733,"time7","Mn"
"time7.26","M2","M1",0.947512408936737,"time7","Mn"
"time13.16","M1","M2",2.02632993530516e-23,"time13","Mn"
"time13.26","M2","M1",0.085943037125848,"time13","Mn"
"time25.16","M1","M2",5.829921935539e-05,"time25","Mn"
"time25.26","M2","M1",0.952239747936204,"time25","Mn"
"time37.16","M1","M2",1.68803383052615e-26,"time37","Mn"
"time37.26","M2","M1",0.178170224269239,"time37","Mn"
"time59.16","M1","M2",0.00034503016746055,"time59","Mn"
"time59.26","M2","M1",0.605140085267194,"time59","Mn"
"time7.17","M1","M2",0.473186730157341,"time7","Zn"
"time7.27","M2","M1",0.976804749491137,"time7","Zn"
"time13.17","M1","M2",0.874576090146014,"time13","Zn"
"time13.27","M2","M1",0.0858286526419729,"time13","Zn"
"time25.17","M1","M2",0.0540575504658619,"time25","Zn"
"time25.27","M2","M1",0.694582043323274,"time25","Zn"
"time37.17","M1","M2",0.00371321623749745,"time37","Zn"
"time37.27","M2","M1",0.806068912748646,"time37","Zn"
"time59.17","M1","M2",0.319919205880389,"time59","Zn"
"time59.27","M2","M1",0.540443244156444,"time59","Zn"
