"","term","pmr7","pmr13","pmr25","pmr37"
"1","(Intercept)","1.963 +/- 0.493 ***","1.43 +/- 0.174 ***","1.195 +/- 0.118 ***","-0.253 +/- 0.794 "
"2","sizesmall",NA,"-0.172 +/- 0.046 ***","-0.072 +/- 0.035 *","-0.211 +/- 0.044 ***"
"3","waterperc","-0.004 +/- 0.002 *","-0.014 +/- 0.003 ***","-0.013 +/- 0.002 ***","-0.025 +/- 0.003 ***"
"4","barkthick_smspp",NA,NA,NA,"-0.054 +/- 0.024 *"
"5","C","-0.019 +/- 0.009 ",NA,NA,"0.04 +/- 0.016 *"
"6","N",NA,"-0.424 +/- 0.142 **",NA,NA
"7","P",NA,"0.001 +/- 0 *","0.001 +/- 0 *","0.001 +/- 0 *"
"8","Mn",NA,"0.001 +/- 0 *",NA,"0.001 +/- 0 *"
"9",NA,NA,NA,NA,NA
"10","Fstat","3.71","5.36","11.15","12.59"
"11","numdf","2","5","3","6"
"12","dendf","51","47","48","44"
"13","r.squared","0.13","0.36","0.41","0.63"
