qseqid	sseqid	evalue	bitscore	length	nident	mismatch	gapopen	species	slength	qlength	identity	coverage
ITSooR1_OTUa_1275	KJ716869.1	2.23e-133	477	301	287	12	1	Lagena radicicola	4005	301	0.953488372093023	1
ITSooR1_OTUa_2369	AJ628984.1	1.83e-153	544	301	301	0	0	Pythium aphanidermatum	809	301	1	1
ITSooR1_OTUa_3081	AY598665.2	4.63e-102	372	213	211	1	1	Phytopythium helicoides	4044	212	0.990610328638498	1.00471698113208
ITSooR1_OTUa_336	JQ898463.1	1.83e-153	544	301	301	0	0	Pythium inflatum	882	301	1	1
ITSooR1_OTUa_4403	AY283647.1	3.05e-67	257	248	212	28	8	Aphanomyces stellatus	748	248	0.854838709677419	1
ITSooR1_OTUa_4697	GU111610.1	7.41e-66	251	153	147	6	0	Phytophthora insolita	905	153	0.96078431372549	1
ITSooR1_OTUa_4699	KP183943.1	6.37e-107	389	224	220	4	0	Pythium sp.	925	224	0.982142857142857	1
ITSooR1_OTUa_507	GU931701.1	3.28e-70	266	150	149	1	0	Pythium vexans	884	150	0.993333333333333	1
ITSooR1_OTUa_515	KP098349.1	9.47e-151	535	301	299	2	0	Pythiopsis terrestris	723	301	0.993355481727575	1
ITSooR1_OTUa_567	AM422704.1	1.83e-153	544	301	301	0	0	Phytophthora palmivora	898	301	1	1
ITSooR1_OTUa_590	GU111611.1	8.81e-65	248	150	145	5	0	Phytophthora insolita	930	150	0.966666666666667	1
ITSooR1_OTUa_6151	AY598625.2	3.28e-70	266	150	149	1	0	Pythium graminicola	4042	150	0.993333333333333	1
ITSooR1_OTUa_6981	GU111610.1	5.11e-68	259	150	147	3	0	Phytophthora insolita	905	156	0.98	0.961538461538462
ITSooR1_OTUa_6983	KC014615.1	2.57e-112	407	239	234	2	1	Pythium vexans	609	240	0.97907949790795	0.995833333333333
ITSooR1_OTUa_6987	GU111611.1	2.89e-71	269	161	157	2	1	Phytophthora insolita	930	159	0.975155279503106	1.0125786163522
ITSooR1_OTUa_729	LC053668.1	6.38e-153	542	300	300	0	0	Pythium arrhenomanes	807	301	1	0.996677740863787
ITSooR1_OTUa_771	KX247599.1	7.77e-152	538	301	300	1	0	Phytophthora alticola	853	301	0.996677740863787	1
ITSooR1_OTUa_877	GU111610.1	2.27e-72	273	153	152	1	0	Phytophthora insolita	905	153	0.993464052287582	1
ITSooR1_OTUa_950	KY475623.1	7.77e-152	538	301	300	1	0	Phytophthora palmivora	853	301	0.996677740863787	1
